Column1;Column2;Column3;Column4
name;price;info;link
Датчики давления Balluff BSP Standard с аналоговым выходом;Уточнить цену;"Код товара; Balluff BSP Standard; Давление; относительное; Диапазон измерения; -1.. 2 бар, 1.. 10 бар, 0.. 2 бар, 0.. 5 бар, 0.. 10 бар, 0.. 20 бар, 0.. 50 бар, 0.. 100 бар, 0.. 250 бар, 0.. 400 бар или 0.. 600 бар";https://balluff-rus.ru/catalog/datchiki_davleniya_s_analogovym_vykhodom_obshchepromyshlennye/datchiki_davleniya_balluff_bsp_standard_s_analogovym_vykhodom/
Датчики давления Balluff BSP Standard с релейным выходом;Уточнить цену;"Код товара; Balluff BSP Standard; Давление; относительное; Диапазон измерения; -1.. 2 бар, 1.. 10 бар, 0.. 2 бар, 0.. 5 бар, 0.. 10 бар, 0.. 20 бар, 0.. 50 бар, 0.. 100 бар, 0.. 250 бар, 0.. 400 бар или 0.. 600 бар";https://balluff-rus.ru/catalog/datchiki_davleniya_s_releynym_vykhodom_obshchepromyshlennye/datchiki_davleniya_balluff_bsp_standard_s_releynym_vykhodom/
Датчики давления BALLUFF BSP High-End с релейным выходом;Уточнить цену;"Код товара; BALLUFF BSP High-End с релейным выходом; Давление; относительное; Диапазон измерения; -1.. 2 бар, 1.. 10 бар, 0.. 2 бар, 0.. 5 бар, 0.. 10 бар, 0.. 20 бар, 0.. 50 бар, 0.. 100 бар, 0.. 250 бар, 0.. 400 бар или 0.. 600 бар";https://balluff-rus.ru/catalog/datchiki_davleniya_s_releynym_vykhodom_obshchepromyshlennye/datchiki_davleniya_balluff_bsp_high_end_s_releynym_vykhodom/
Датчик давления Balluff BSP B400-EV003-D00S1B-S4;Уточнить цену;"Артикул; BSP B400-EV003-D00S1B-S4; Код товара; BSP00CT; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b400_ev003_d00s1b_s4/
Датчик давления Balluff BSP B400-EV003-D01S1B-S4;Уточнить цену;"Артикул; BSP B400-EV003-D01S1B-S4; Код товара; BSP00E6; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b400_ev003_d01s1b_s4/
Датчик давления Balluff BSP B600-EV002-A01S1B-S4;Уточнить цену;"Артикул; BSP B600-EV002-A01S1B-S4; Код товара; BSP00CE; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b600_ev002_a01s1b_s4/
Датчик давления Balluff BSP B600-EV002-D00S1B-S4;Уточнить цену;"Артикул; BSP B600-EV002-D00S1B-S4; Код товара; BSP008K; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b600_ev002_d00s1b_s4/
Датчик давления Balluff BSP B600-EV003-A01S1B-S4;Уточнить цену;"Артикул; BSP B600-EV003-A01S1B-S4; Код товара; BSP00EM; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b600_ev003_a01s1b_s4/
Датчик давления Balluff BSP B600-EV003-A02S1B-S4;Уточнить цену;"Артикул; BSP B600-EV003-A02S1B-S4; Код товара; BSP00AL; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b600_ev003_a02s1b_s4/
Датчик давления Balluff BSP B600-EV003-D01A0B-S4;Уточнить цену;"Артикул; BSP B600-EV003-D01A0B-S4; Код товара; BSP0044; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b600_ev003_d01a0b_s4/
Датчик давления Balluff BSP V002-EV002-A03A0B-S4;Уточнить цену;"Артикул; BSP V002-EV002-A03A0B-S4; Код товара; BSP004U; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v002_ev002_a03a0b_s4/
Датчик давления Balluff BSP V002-EV002-A03S1B-S4;Уточнить цену;"Артикул; BSP V002-EV002-A03S1B-S4; Код товара; BSP009E; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v002_ev002_a03s1b_s4/
Датчик давления Balluff BSP V002-EV003-A03A0B-S4;Уточнить цену;"Артикул; BSP V002-EV003-A03A0B-S4; Код товара; BSP0058; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v002_ev003_a03a0b_s4/
Датчик давления Balluff BSP V002-EV003-D00A0B-S4;Уточнить цену;"Артикул; BSP V002-EV003-D00A0B-S4; Код товара; BSP004Y; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v002_ev003_d00a0b_s4/
Датчик давления Balluff BSP V002-EV003-D01A0B-S4;Уточнить цену;"Артикул; BSP V002-EV003-D01A0B-S4; Код товара; BSP0054; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v002_ev003_d01a0b_s4/
Датчик давления Balluff BSP V010-EV002-A00A0B-S4;Уточнить цену;"Артикул; BSP V010-EV002-A00A0B-S4; Код товара; BSP004K; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v010_ev002_a00a0b_s4/
Датчик давления Balluff BSP V010-EV002-A03A0B-S4;Уточнить цену;"Артикул; BSP V010-EV002-A03A0B-S4; Код товара; BSP004W; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v010_ev002_a03a0b_s4/
Датчик давления Balluff BSP V010-EV002-D01S1B-S4;Уточнить цену;"Артикул; BSP V010-EV002-D01S1B-S4; Код товара; BSP009W; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v010_ev002_d01s1b_s4/
Датчик давления Balluff BSP V010-EV003-A01A0B-S4;Уточнить цену;"Артикул; BSP V010-EV003-A01A0B-S4; Код товара; BSP0057; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v010_ev003_a01a0b_s4/
Датчик давления Balluff BSP V010-EV003-D01A0B-S4;Уточнить цену;"Артикул; BSP V010-EV003-D01A0B-S4; Код товара; BSP0055; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v010_ev003_d01a0b_s4/
Датчик давления Balluff BSP V010-EV003-D01S1B-S4;Уточнить цену;"Артикул; BSP V010-EV003-D01S1B-S4; Код товара; BSP00CY; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v010_ev003_d01s1b_s4/
Датчик давления Balluff BSP V050-HV002-D00S1B-S4-001;Уточнить цену;"Артикул; BSP V050-HV002-D00S1B-S4-001; Код товара; BSP00LR; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Пластмасса";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v050_hv002_d00s1b_s4_001/
Датчик давления Balluff BSP B002-EV002-A03A0B-S4;Уточнить цену;"Артикул; BSP B002-EV002-A03A0B-S4; Код товара; BSP003W; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b002_ev002_a03a0b_s4/
Датчик давления Balluff BSP B002-EV002-A03S1B-S4;Уточнить цену;"Артикул; BSP B002-EV002-A03S1B-S4; Код товара; BSP009H; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b002_ev002_a03s1b_s4/
Датчик давления Balluff BSP B002-EV002-D00S1B-S4;Уточнить цену;"Артикул; BSP B002-EV002-D00S1B-S4; Код товара; BSP0088; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b002_ev002_d00s1b_s4/
Датчик давления Balluff BSP B002-EV002-D01S1B-S4;Уточнить цену;"Артикул; BSP B002-EV002-D01S1B-S4; Код товара; BSP009Y; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b002_ev002_d01s1b_s4/
Датчик давления Balluff BSP B002-EV003-A02S1B-S4;Уточнить цену;"Артикул; BSP B002-EV003-A02S1B-S4; Код товара; BSP00A9; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b002_ev003_a02s1b_s4/
Датчик давления Balluff BSP B002-EV003-D00A0B-S4;Уточнить цену;"Артикул; BSP B002-EV003-D00A0B-S4; Код товара; BSP0021; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b002_ev003_d00a0b_s4/
Датчик давления Balluff BSP B002-EV003-D01A0B-S4;Уточнить цену;"Артикул; BSP B002-EV003-D01A0B-S4; Код товара; BSP0041; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b002_ev003_d01a0b_s4/
Датчик давления Balluff BSP B002-EV003-D01S1B-S4;Уточнить цену;"Артикул; BSP B002-EV003-D01S1B-S4; Код товара; BSP00CZ; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b002_ev003_d01s1b_s4/
Датчик давления Balluff BSP B005-EV003-A00S1B-S4;Уточнить цену;"Артикул; BSP B005-EV003-A00S1B-S4; Код товара; BSP00AR; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b005_ev003_a00s1b_s4/
Датчик давления Balluff BSP B005-EV003-A02A0B-S4;Уточнить цену;"Артикул; BSP B005-EV003-A02A0B-S4; Код товара; BSP002P; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b005_ev003_a02a0b_s4/
Датчик давления Balluff BSP B005-EV003-D00S1B-S4;Уточнить цену;"Артикул; BSP B005-EV003-D00S1B-S4; Код товара; BSP00CK; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b005_ev003_d00s1b_s4/
