name,price,info,link
Емкостные датчики Balluff в цилиндрическом корпусе M8,Уточнить цену,Код товара; Balluff BCS M08; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Принцип действия; емкостной,https://balluff-rus.ru/catalog/emkostnye_datchiki_v_tsilindricheskikh_korpusakh/emkostnye_datchiki_balluff_v_tsilindricheskom_korpuse_m8/
Емкостные датчики Balluff в цилиндрическом корпусе M12,Уточнить цену,Код товара; Balluff BCS M12; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Принцип действия; емкостной,https://balluff-rus.ru/catalog/emkostnye_datchiki_v_tsilindricheskikh_korpusakh/emkostnye_datchiki_balluff_v_tsilindricheskom_korpuse_m12/
Емкостные датчики Balluff в цилиндрическом корпусе M18,Уточнить цену,Код товара; Balluff BCS M18; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Принцип действия; емкостной,https://balluff-rus.ru/catalog/emkostnye_datchiki_v_tsilindricheskikh_korpusakh/emkostnye_datchiki_balluff_v_tsilindricheskom_korpuse_m18/
Емкостные датчики Balluff дискового типа,Уточнить цену,Код товара; Balluff BCS D; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Принцип действия; емкостной,https://balluff-rus.ru/catalog/emkostnye_datchiki_v_tsilindricheskikh_korpusakh/emkostnye_datchiki_balluff_diskovogo_tipa/
Емкостные датчики Balluff в прямоугольном корпусе,Уточнить цену,Код товара; Balluff BCS R08; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Принцип действия; емкостной,https://balluff-rus.ru/catalog/emkostnye_datchiki_v_pryamougolnykh_korpusakh/emkostnye_datchiki_balluff_v_pryamougolnom_korpuse/
Емкостные датчики Balluff в цилиндрическом корпусе M30,Уточнить цену,Код товара; Balluff BCS M30; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Принцип действия; емкостной,https://balluff-rus.ru/catalog/emkostnye_datchiki_v_tsilindricheskikh_korpusakh/emkostnye_datchiki_balluff_v_tsilindricheskom_korpuse_m30/
Емкостной датчик Balluff BCS D22T402-PSM60C-EP02,Уточнить цену,"Артикул; BCS D22T402-PSM60C-EP02; Код товара; BCS00HK; Срок поставки; 4-6 недель; Длина датчика, мм; 16",https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d22t402_psm60c_ep02/
Емкостной датчик Balluff BCS D30T401-PSC15C-EP02,Уточнить цену,Артикул; BCS D30T401-PSC15C-EP02; Код товара; BCS003A; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется,https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d30t401_psc15c_ep02/
Емкостной датчик Balluff BCS G06T4E1-NSM15C-EP02,Уточнить цену,Артикул; BCS G06T4E1-NSM15C-EP02; Код товара; BCS001N; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется,https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4e1_nsm15c_ep02/
Емкостной датчик Balluff BCS G10T4H-PSM40C-EP02,Уточнить цену,Артикул; BCS G10T4H-PSM40C-EP02; Код товара; BCS002T; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется,https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g10t4h_psm40c_ep02/
