name,price,info,link
Индуктивные датчики Balluff BAW с аналоговым выходом,Уточнить цену,Код товара; Balluff BAW; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Температура эксплуатации; -10.. 70 °C,https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnye_datchiki_balluff_baw_s_analogovym_vykhodom/
Индуктивный датчик расстояния Balluff BAW G06EE-UAF20B-EP03-K,Уточнить цену,"Артикул; BAW G06EE-UAF20B-EP03-K; Код товара; BAW000J; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_g06ee_uaf20b_ep03_k/
Индуктивный датчик расстояния Balluff BAW M08EF-UAC15B-S49G,Уточнить цену,"Артикул; BAW M08EF-UAC15B-S49G; Код товара; BAW000M; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ef_uac15b_s49g/
Индуктивный датчик расстояния Balluff BAW M08EI-UAD25F-BP03,Уточнить цену,"Артикул; BAW M08EI-UAD25F-BP03; Код товара; BAW000W; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad25f_bp03/
Индуктивный датчик расстояния Balluff BAW M12ME-UAC20B-S04G,Уточнить цену,"Артикул; BAW M12ME-UAC20B-S04G; Код товара; BAW0010; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_uac20b_s04g/
Индуктивный датчик расстояния Balluff BAW M12ME-UAC35C-S04G,Уточнить цену,"Артикул; BAW M12ME-UAC35C-S04G; Код товара; BAW004K; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_uac35c_s04g/
"Индуктивный датчик расстояния Balluff BAW M12MG2-ICC20B-BP00,2-GS04",Уточнить цену,"Артикул; BAW M12MG2-ICC20B-BP00,2-GS04; Код товара; BAW001F; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_icc20b_bp00_2_gs04/
Индуктивный датчик расстояния Balluff BAW M12MG2-UAC20B-BV05-001,Уточнить цену,"Артикул; BAW M12MG2-UAC20B-BV05-001; Код товара; BAW0057; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_uac20b_bv05_001/
Индуктивный датчик расстояния Balluff BAW M18MG-UAC16F-S04G-K,Уточнить цену,"Артикул; BAW M18MG-UAC16F-S04G-K; Код товара; BAW0029; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18mg_uac16f_s04g_k/
Индуктивный датчик расстояния Balluff BAW M18MI-IAC50B-S04G,Уточнить цену,"Артикул; BAW M18MI-IAC50B-S04G; Код товара; BAW002H; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 0...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18mi_iac50b_s04g/
Индуктивный датчик расстояния Balluff BAW R06AC-UAF20B-EP03,Уточнить цену,"Артикул; BAW R06AC-UAF20B-EP03; Код товара; BAW0033; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r06ac_uaf20b_ep03/
