name,price,info,link
BORE01 фотобарьер общепромышленный,28 960 ₽,Тип безопасности: Тип 4,https://beskonta.ru/product/bore01-opticheskiy-fotobarer/
BORE02 фотобарьер с защитой от солнца,30 170 ₽,Тип безопасности: Тип 4,https://beskonta.ru/product/bore02-opticheskiy-fotobarer/
BOREV01 фотобарьер с защитой от вибрации,30 410 ₽,Тип безопасности: Тип 4,https://beskonta.ru/product/borev01-opticheskiy-fotobarer/
BOREV02 фотобарьер с защитой от солнца и вибрации,31 680 ₽,Тип безопасности: Тип 4,https://beskonta.ru/product/borev02-opticheskiy-fotobarer/
BOREG01 фотобарьер водонепроницаемый общепромышленный,43 440 ₽,Тип безопасности: Тип 4,https://beskonta.ru/product/boreg01-fotobarer-obschepromyshlennyy-vodonepronicaemyy/
BOREG02 фотобарьер водонепроницаемый с защитой от солнца,45 260 ₽,Тип безопасности: Тип 4,https://beskonta.ru/product/boreg02-fotobarer-s-zaschitoy-ot-solnca-vodonepronicaemyy/
BOREGV01 фотобарьер водонепроницаемый с защитой от вибрации,50 420 ₽,Тип безопасности: Тип 4,https://beskonta.ru/product/boregv01-fotobarer-s-zaschitoy-ot-vibracii-vodonepronicaemyy/
BOREGV02 фотобарьер водонепроницаемый с защитой от солнца и вибрации,47 510 ₽,Тип безопасности: Тип 4,https://beskonta.ru/product/boregv02-fotobarer-s-zaschitoy-ot-solnca-i-vibracii-vodonepronicaemyy/
SARE-01 реле безопасности (УБПВ),Цена по запросу,Категория безопасности: 4,https://beskonta.ru/product/sare-01-rele-bezopasnosti-ubpv/
Источник питания SPS-DIN-12V,3 200 ₽,Габаритные размеры: 87х72х62 мм,https://beskonta.ru/product/istochnik-pitaniya-sps-din-12v/
Источник питания SPS-DIN-24V,3 520 ₽,Габаритные размеры: 87х72х62 мм,https://beskonta.ru/product/istochnik-pitaniya-sps-din-24v/
SHA01-20V120G датчик влажности маятниковый,7 370 ₽,Конструктивное исполнение: маятниковое,https://beskonta.ru/product/datchik-vlazhnosti-sha01-20v120g/
SHA02-79B35 датчик влажности настенный,5 370 ₽,Конструктивное исполнение: настенное,https://beskonta.ru/product/datchik-vlazhnosti-sha02-79b35/
SHA02-79N114 датчик влажности с выносным элементом,7 260 ₽,Конструктивное исполнение: настенное с выносным элементом,https://beskonta.ru/product/datchik-vlazhnosti-sha02-79n114/
SHA02-79V114 датчик влажности канальный,7 690 ₽,Конструктивное исполнение: канальное,https://beskonta.ru/product/datchik-vlazhnosti-sha02-79v114-kanalnyy/
SHTA01-20V120G датчик влажности и температуры маятниковый,7 020 ₽,Конструктивное исполнение: маятниковое,https://beskonta.ru/product/datchik-vlazhnosti-i-temperatury-shta01-20v120g-mayatnikovyy/
SHTA02-79B35 датчик влажности и температуры настенный,5 120 ₽,Конструктивное исполнение: настенное,https://beskonta.ru/product/datchik-vlazhnosti-i-temperatury-shta02-79b35-nastennyy/
SHTA02-79N114 датчик влажности и температуры с выносным элементом,6 910 ₽,Конструктивное исполнение: настенное с выносным элементом,https://beskonta.ru/product/datchik-vlazhnosti-i-temperatury-shta02-79n114-s-vynosnym-elementom/
STA01-20V120G датчик температуры маятниковый,7 180 ₽,Тип выходного сигнала: Аналоговый унифицированный сигнал,https://beskonta.ru/product/datchik-temperatury-sta01-20v120g-mayatnikovyy/
STA02-79B35-K датчик температуры настенный,4 900 ₽,Тип выходного сигнала: Аналоговый унифицированный сигнал,https://beskonta.ru/product/datchik-temperatury-sta02-79b35-k-nastennyy/
STA02-79N114 датчик температуры с выносным элементом,6 690 ₽,Тип выходного сигнала: Аналоговый унифицированный сигнал,https://beskonta.ru/product/datchik-temperatury-sta02-79n114-s-vynosnym-elementom/
ST01-A6N50G датчик температуры накладной,940 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-st01-a6n50g-nakladnoy/
ST02-79B35-K датчик температуры настенный,1 700 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-st02-79b35-k-nastennyy/
ST01-14N75G датчик температуры пальчиковый,1 260 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-st01-14n75g-palchikovyy/
ST02-79N40-K датчик температуры с малой инерцией,1 970 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-st02-79n40-k-s-maloy-inerciey/
ST01-45G15 датчик температуры привинчиваемый,870 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-st01-45g15-privinchivaemyy/
STN01-4NxxxG датчик температуры игольчатый,2 290 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-stn01-4nxxxg-igolchatyy/
STA02-79Vxxx-K датчик температуры канальный,6 780 ₽,Тип выходного сигнала: Аналоговый унифицированный сигнал,https://beskonta.ru/product/datchik-temperatury-sta02-79vxxx-k-kanalnyy/
ST02-79Vxxx-K датчик температуры канальный,1 980 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-st02-79vxxx-k-kanalnyy/
ST01-C6Vxxx датчик температуры канальный,1 510 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-st01-c6vxxx-kanalnyy/
ST01-D10NxxxxG датчик температуры зондовый,3 490 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-st01-d10nxxxxg-zondovyy/
ST02-79V60S-K-ST датчик температуры погружной,3 800 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-st02-79v60s-k-st-pogruzhnoy/
STA02-79V60S-K-ST датчик температуры погружной,7 240 ₽,Тип выходного сигнала: Аналоговый унифицированный сигнал,https://beskonta.ru/product/datchik-temperatury-sta02-79v60s-k-st-pogruzhnoy/
STA03-G25 датчик температуры погружной,16 490 ₽,Тип выходного сигнала: Аналоговый унифицированный сигнал,https://beskonta.ru/product/datchik-temperatury-sta03-g25v60-p12-st-pogruzhnoy/
ST01-8V250S-ST датчик температуры погружной,3 260 ₽,Тип выходного сигнала: Терморезистивный сигнал,https://beskonta.ru/product/datchik-temperatury-st01-8v250s-st-pogruzhnoy/
ST02-79V20-NTC10K-K-FP датчик температуры [SF.7],2 180 ₽,Конструктивное исполнение: канальное,https://beskonta.ru/product/datchik-temperatury-sf-7-st02-79v20-ntc10k-k-fp/
STA02-A79B35-K датчик температуры накладной,5 230 ₽,Конструктивное исполнение: накладное,https://beskonta.ru/product/datchik-temperatury-sta02-a79b35-k-nakladnoy/
SCO2-96V114 датчик углекислого газа (CO2) канальный,24 450 ₽,Тип корпуса датчика: канальный,https://beskonta.ru/product/datchik-uglekislogo-gaza-co2-kanalnyy-sco2-96v114/
SCO2-96B55 датчик углекислого газа (CO2) настенный,25 480 ₽,Тип корпуса датчика: настенный,https://beskonta.ru/product/datchik-uglekislogo-gaza-co2-nastennyy-sco2-96b55/
SCO2-W01-K датчик углекислого газа (CO2) комнатный,29 300 ₽,Тип корпуса датчика: комнатный,https://beskonta.ru/product/datchik-uglekislogo-gaza-co2-komnatnyy-sco2-w01-k/
SHA02-W01-K датчик влажности комнатный,6 950 ₽,Конструктивное исполнение: комнатное,https://beskonta.ru/product/datchik-vlazhnosti-sha02-w01-k-komnatnyy/
SHTA02-79Vxxxx датчик влажности и температуры канальный,7 330 ₽,Конструктивное исполнение: канальное,https://beskonta.ru/product/datchik-vlazhnosti-i-temperatury-shta02-79vxxxx-kanalnyy/
