Название,Цена,Артикул,Описание,Ссылка
ВБ3.12М.60.R10000.2П.1.К,3 756 руб.,F004,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М12x1 длиной 60 мм. Sn 10000 мм, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-12m-60-r10000-2p-1-k
ВБ3.12М.60.R4000.1П.1.К,3 690 руб.,F005,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М12x1 длиной 60 мм. Sn 4000 мм, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-12m-60-r4000-1p-1-k
ВБ3.12М.60.R4000.2П.1.К,3 690 руб.,F006,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М12x1 длиной 60 мм. Sn 4000 мм, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-12m-60-r4000-2p-1-k
ВБ3.12М.60.R4000.56П.1.К,4 212 руб.,F007,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М12x1 длиной 60 мм. Sn 4000 мм, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3-12m-60-r4000-56p-1-k
ВБ3.12М.60.T10000.х.1.К,2 100 руб.,F008,"Оптический датчик (ИЗЛУЧАТЕЛЬ барьерной пары) в корпусе из пластика АБС и латуни с резьбой М12x1 длиной 60 мм. -20...+70 °C, 10...30 V DC, кабель ПВХ/2x0,35/ 2 м.",https://mega-k.com/products/vb3-12m-60-t10000-x-1-k
ВБ3.12М.60.T4000.х.1.К,1 836 руб.,F009,"Оптический датчик (ИЗЛУЧАТЕЛЬ барьерной пары) в корпусе из пластика АБС и латуни с резьбой М12x1 длиной 60 мм. -20...+70 °C, 10...30 V DC, кабель ПВХ/2x0,35/ 2 м.",https://mega-k.com/products/vb3-12m-60-t4000-x-1-k
ВБ3.12М.70.R4000.1П.1.С4,3 690 руб.,F010,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М12x1 длиной 70 мм. Sn 4000 мм, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3-12m-70-r4000-1p-1-c4
ВБ3.12М.70.R4000.2П.1.С4,3 690 руб.,F011,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М12x1 длиной 70 мм. Sn 4000 мм, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3-12m-70-r4000-2p-1-c4
ВБ3.12М.70.Т4000.х.1.С4,1 836 руб.,F012,"Оптический датчик (ИЗЛУЧАТЕЛЬ барьерной пары) в корпусе из пластика АБС и латуни с резьбой М12x1 длиной 70 мм. -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3-12m-70-t4000-x-1-c4
ВБ3.12М.75.R4000.2П.1.Z,3 690 руб.,F013,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М12x1 длиной 75 мм. Sn 4000 мм, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-12m-75-r4000-2p-1-z
ВБ3.12М.75.R4000.56П.1.Z,4 212 руб.,F014,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М12x1 длиной 75 мм. Sn 4000 мм, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3-12m-75-r4000-56p-1-z
ВБ3.12М.75.T4000.х.1.Z,1 836 руб.,F015,"Оптический датчик (ИЗЛУЧАТЕЛЬ барьерной пары) в корпусе из пластика АБС и латуни с резьбой М12x1 длиной 75 мм. -20...+70 °C, 10...30 V DC, кабель ПВХ/2x0,35/ 2 м.",https://mega-k.com/products/vb3-12m-75-t4000-x-1-z
ВБ3.12М.95.R12000.2П.1.В,5 388 руб.,F016,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М12x1 длиной 95 мм. Sn 12000 мм, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb3-12m-95-r12000-2p-1-v
ВБ3.12М.95.T12000.х.1.В,3 300 руб.,F017,"Оптический датчик (ИЗЛУЧАТЕЛЬ барьерной пары) в корпусе из пластика АБС и латуни с резьбой М12x1 длиной 95 мм. -20...+70 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb3-12m-95-t12000-x-1-v
ВБ3.18М.80.R4000.1П.1.Z,3 252 руб.,F024,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn 4000 мм, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-18m-80-r4000-1p-1-z
