Название,Цена,Артикул,Описание,Ссылка
ВБ3.18М.65.R16000.1П.1.К,3 480 руб.,F072,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn 16000 мм, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ/2x0,35/ 2 м.",https://mega-k.com/products/vb3-18m-65-r16000-1p-1-k
ВБ3.18М.65.R16000.2П.1.К,3 480 руб.,F073,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn 16000 мм, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-18m-65-r16000-2p-1-k
ВБ3.18М.65.R16000.5.1.К,3 876 руб.,F074,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn 16000 мм, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-18m-65-r16000-5-1-k
ВБ3.18М.65.R16000.56П.1.К,3 960 руб.,F075,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn 16000 мм, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3-18m-65-r16000-56p-1-k
ВБ3.18М.65.R16000.6.1.К,3 876 руб.,F076,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn 16000 мм, NPN, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-18m-65-r16000-6-1-k
ВБ3.18М.65.R4000.1П.1.К,3 252 руб.,F018,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn 4000 мм, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-18m-65-r4000-1p-1-k
ВБ3.18М.65.R4000.2П.1.К,3 252 руб.,F019,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn 4000 мм, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-18m-65-r4000-2p-1-k
ВБ3.18М.65.R4000.5.1.К,3 540 руб.,F020,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn 4000 мм, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-18m-65-r4000-5-1-k
ВБ3.18М.65.R4000.56П.1.К,3 660 руб.,F021,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn 4000 мм, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3-18m-65-r4000-56p-1-k
ВБ3.18М.65.T16000.х.1.К,2 388 руб.,F210,"Оптический датчик-излучатель в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. -20...+70 °C, 10...30 V DC, кабель ПВХ/2x0,35/ 2 м.",https://mega-k.com/products/vb3-18m-65-t16000-x-1-k
