Название,Цена,Артикул,Описание,Ссылка
ВБ3С.18М.65.TR100.1П.1.К,3 720 руб.,F087,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...120 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr100-1p-1-k
ВБ3С.18М.65.TR100.1П.1.К.41,3 948 руб.,F090,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...120 мм, 1000 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr100-1p-1-k-41
ВБ3С.18М.65.TR100.1П.1.К/С18,4 104 руб.,F089,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...120 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем M12.",https://mega-k.com/products/vb3c-18m-65-tr100-1p-1-kc18
ВБ3С.18М.65.TR100.2П.1.К,3 720 руб.,F091,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...120 мм, 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr100-2p-1-k
ВБ3С.18М.65.TR100.2П.1.К/С18,4 104 руб.,F092,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...120 мм, 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3c-18m-65-tr100-2p-1-kc18
ВБ3С.18М.65.TR100.5.1.К,4 800 руб.,F093,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...120 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr100-5-1-k
ВБ3С.18М.65.TR100.5.1.К/С18,5 160 руб.,F094,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...120 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3c-18m-65-tr100-5-1-kc18
ВБ3С.18М.65.TR100.56П.1.К,4 560 руб.,F095,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...120 мм, 400 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr100-56p-1-k
ВБ3С.18М.65.TR100.6.1.К,4 800 руб.,F096,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...120 мм, 400 Гц, NPN, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr100-6-1-k
ВБ3С.18М.65.TR1000.1П.1.К,3 720 руб.,F077,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 10...1500 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr1000-1p-1-k
