Название,Цена,Артикул,Описание,Ссылка
ВК260,1 212 руб.,4673759518582,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk260
ВК261,1 212 руб.,4673759518599,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk261
ВК262,1 212 руб.,4673759518605,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk262
ВК263,1 212 руб.,4673759518612,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk263
ВК264,1 212 руб.,4673759518629,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk264
ВК265,1 212 руб.,4673759518636,"Индуктивный датчик, Sn 10 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk265
ВК321,1 212 руб.,4673759518643,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk321
ВК322,1 212 руб.,4673759518650,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk322
ВК323,1 212 руб.,4673759518667,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk323
ВК324,1 212 руб.,4673759518674,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk324
ВК422,1 212 руб.,4673759518681,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk422
ВК423,1 212 руб.,4673759518698,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk423
ВК424,1 212 руб.,4673759518704,"Индуктивный датчик, Sn 8 мм, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/vk424
