Название,Цена,Артикул,Описание,Ссылка
PS2-55D55-20B11-K,1 476 руб.,4673759514492,"Индуктивный датчик, L-55 мм, Sn 20 мм, заподлицо, PNP, замыкающий, NO, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-55d55-20b11-k
PS2-55D55-20B21-K,1 476 руб.,4673759514508,"Индуктивный датчик, L-55 мм, Sn 20 мм, заподлицо, NPN, замыкающий, NO, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-55d55-20b21-k
PS2-55D55-20B31-K,1 476 руб.,4673759514515,"Индуктивный датчик, L-55 мм, Sn 20 мм, заподлицо, PNP, размыкающий, NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-55d55-20b31-k
PS2-55D55-20B41-K,1 476 руб.,4673759514522,"Индуктивный датчик, L-55 мм, Sn 20 мм, заподлицо, NPN, размыкающий, NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-55d55-20b41-k
PS2-55D55-20B51-K,1 620 руб.,4673759514539,"Индуктивный датчик, L-55 мм, Sn 20 мм, заподлицо, PNP, переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-55d55-20b51-k
PS2-55D55-20B61-K,1 620 руб.,4673759514546,"Индуктивный датчик, L-55 мм, Sn 20 мм, заподлицо, NPN, переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-55d55-20b61-k
PS2-55D55-30N11-K,1 476 руб.,4673759511996,"Индуктивный датчик, L-55 мм, Sn 30 мм, не заподлицо, PNP, замыкающий, NO, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-55d55-30n11-k
PS2-55D55-30N21-K,1 476 руб.,4673759514553,"Индуктивный датчик, L-55 мм, Sn 30 мм, не заподлицо, NPN, замыкающий, NO, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-55d55-30n21-k
PS2-55D55-30N31-K,1 476 руб.,4673759514560,"Индуктивный датчик, L-55 мм, Sn 30 мм, не заподлицо, PNP, размыкающий, NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-55d55-30n31-k
PS2-55D55-30N41-K,1 476 руб.,4673759514577,"Индуктивный датчик, L-55 мм, Sn 30 мм, не заподлицо, NPN, размыкающий, NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-55d55-30n41-k
PS2-55D55-30N51-K,1 620 руб.,4673759514584,"Индуктивный датчик, L-55 мм, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-55d55-30n51-k
PS2-55D55-30N61-K,1 620 руб.,4673759514591,"Индуктивный датчик, L-55 мм, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-55d55-30n61-k
PS2-55D73-20B11-C4,1 476 руб.,4673759514607,"Индуктивный датчик, L-73 мм, Sn 20 мм, заподлицо, PNP, замыкающий, NO, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-20b11-c4
PS2-55D73-20B21-C4,1 476 руб.,4673759514614,"Индуктивный датчик, L-73 мм, Sn 20 мм, заподлицо, NPN, замыкающий, NO, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-20b21-c4
PS2-55D73-20B31-C4,1 476 руб.,4673759514621,"Индуктивный датчик, L-73 мм, Sn 20 мм, заподлицо, PNP, размыкающий, NC, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-20b31-c4
PS2-55D73-20B41-C4,1 476 руб.,4673759514638,"Индуктивный датчик, L-73 мм, Sn 20 мм, заподлицо, NPN, размыкающий, NC, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-20b41-c4
PS2-55D73-20B51-C4,1 620 руб.,4673759514645,"Индуктивный датчик, L-73 мм, Sn 20 мм, заподлицо, PNP, переключающий, NO+NC, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-20b51-c4
PS2-55D73-20B61-C4,1 620 руб.,4673759514652,"Индуктивный датчик, L-73 мм, Sn 20 мм, заподлицо, NPN, переключающий, NO+NC, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-20b61-c4
PS2-55D73-30N11-C4,1 476 руб.,4673759514669,"Индуктивный датчик, L-73 мм, Sn 30 мм, не заподлицо, PNP, замыкающий, NO, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-30n11-c4
PS2-55D73-30N21-C4,1 476 руб.,4673759514676,"Индуктивный датчик, L-73 мм, Sn 30 мм, не заподлицо, NPN, замыкающий, NO, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-30n21-c4
PS2-55D73-30N31-C4,1 476 руб.,4673759514683,"Индуктивный датчик, L-73 мм, Sn 30 мм, не заподлицо, PNP, размыкающий, NC, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-30n31-c4
PS2-55D73-30N41-C4,1 476 руб.,4673759514690,"Индуктивный датчик, L-73 мм, Sn 30 мм, не заподлицо, NPN, размыкающий, NC, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-30n41-c4
PS2-55D73-30N51-C4,1 620 руб.,4673759514706,"Индуктивный датчик, L-73 мм, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-30n51-c4
PS2-55D73-30N61-C4,1 620 руб.,4673759514713,"Индуктивный датчик, L-73 мм, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-55d73-30n61-c4
ВБ2.55.55.30.1.1.К,Цена не указана,C296,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-55-55-30-1-1-k
ВБ2.55.55.30.5.1.К,Цена не указана,C298,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb2-55-55-30-5-1-k
ВБ2.55.73.30.1.1.С4,Цена не указана,C307,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-55-73-30-1-1-c4
ВБ2.55.73.30.3.1.С4,Цена не указана,C308,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-55-73-30-3-1-c4
ВБ2.55.73.30.5.1.С4,Цена не указана,C309,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-55-73-30-5-1-c4
