Название,Цена,Артикул,Описание,Ссылка
PS2-32-15N11-K,1 092 руб.,4673759506206,"Индуктивный датчик, Sn 15 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/ps2-32-15n11-k
PS2-32-15N21-K,1 092 руб.,4673759506244,"Индуктивный датчик, Sn 15 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/ps2-32-15n21-k
PS2-32-15N31-K,1 092 руб.,4673759506251,"Индуктивный датчик, Sn 15 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/ps2-32-15n31-k
PS2-32-15N41-K,1 092 руб.,4673759511651,"Индуктивный датчик, Sn 15 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/ps2-32-15n41-k
PS2-32-8B11-K,1 092 руб.,4673759506176,"Индуктивный датчик, Sn 8 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/ps2-32-8b11-k
PS2-32-8B21-K,1 092 руб.,4673759514058,"Индуктивный датчик, Sn 8 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/ps2-32-8b21-k
PS2-32-8B31-K,1 092 руб.,4673759506183,"Индуктивный датчик, Sn 8 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/ps2-32-8b31-k
PS2-32-8B41-K,1 092 руб.,4673759514065,"Индуктивный датчик, Sn 8 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 3,5 мм/3x0,12/ 2 м.",https://mega-k.com/products/ps2-32-8b41-k
ВБ2.32.хх.15.1.1.К,Цена не указана,C656,"Индуктивный датчик, Sn 15 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-32-xx-15-1-1-k
ВБ2.32.хх.15.2.1.К,Цена не указана,C658,"Индуктивный датчик, Sn 15 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-32-xx-15-2-1-k
ВБ2.32.хх.15.3.1.К,Цена не указана,C657,"Индуктивный датчик, Sn 15 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-32-xx-15-3-1-k
ВБ2.32.хх.15.4.1.К,Цена не указана,C659,"Индуктивный датчик, Sn 15 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-32-xx-15-4-1-k
ВБ2.32.хх.8.1.1.К,Цена не указана,C652,"Индуктивный датчик, Sn 8 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-32-xx-8-1-1-k
ВБ2.32.хх.8.2.1.К,Цена не указана,C654,"Индуктивный датчик, Sn 8 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-32-xx-8-2-1-k
ВБ2.32.хх.8.3.1.К,Цена не указана,C653,"Индуктивный датчик, Sn 8 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-32-xx-8-3-1-k
ВБ2.32.хх.8.4.1.К,Цена не указана,C655,"Индуктивный датчик, Sn 8 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-32-xx-8-4-1-k
