Название,Цена,Артикул,Описание,Ссылка
ВБ3МС.48.xx.TRL100.1.1.К,6 540 руб.,F204,"Датчик метки в корпусе из АБС и латуни с резьбой М18х1 длиной 48 мм. Sn на сталь: 30...100 мм, Sn на тест-карту: 30...120 мм, 400 Гц, заподлицо, PNP, замыкающий, NO, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb3mc-48-trl100b11-k
ВБ3МС.48.xx.TRL100.1.1.К.41,6 648 руб.,F205,"Датчик метки в корпусе из АБС и латуни с резьбой М18х1 длиной 48 мм. Sn на сталь: 30...100 мм, Sn на тест-карту: 30...120 мм, 1000 Гц, заподлицо, PNP, замыкающий, NO, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb3mc-48-xx-trl100-1-1-k-41
ВБ3МС.48.xx.TRL100.2.1.К,6 540 руб.,F206,"Датчик метки в корпусе из АБС и латуни с резьбой М18х1 длиной 48 мм. Sn на сталь: 30...100 мм, Sn на тест-карту: 30...120 мм, 400 Гц, заподлицо, NPN, замыкающий, NO, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb3mc-48-trl100b21-k
ВБ3МС.48.xx.TRL100.2.1.К.41,6 648 руб.,F207,"Датчик метки в корпусе из АБС и латуни с резьбой М18х1 длиной 48 мм. Sn на сталь: 30...100 мм, Sn на тест-карту: 30...120 мм, 1000 Гц, заподлицо, NPN, замыкающий, NO, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb3mc-48-xx-trl100-2-1-k-41
ВБ3МС.48.xx.TRL100.56.1.К,6 648 руб.,F208,"Датчик метки в корпусе из АБС и латуни с резьбой М18х1 длиной 48 мм. Sn на сталь: 30...100 мм, Sn на тест-карту: 30...120 мм, 400 Гц, заподлицо, PNP+NPN, замыкающий, NO, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3mc-48-trl100b561-k
ВБ3МС.48.xx.TRL100.56.1.К.41,6 750 руб.,F209,"Датчик метки в корпусе из АБС и латуни с резьбой М18х1 длиной 48 мм. Sn на сталь: 30...100 мм, Sn на тест-карту: 30...120 мм, 1000 Гц, заподлицо, PNP+NPN, замыкающий, NO, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3mc-48-xx-trl100-56-1-k-41
ВБ3С.48.xx.TR100.56П.1.К.41,5 436 руб.,F188,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 5...100 мм, Sn на тест-карту: 5...120 мм, 1000 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-48-xx-tr100-56p-1-k-41
ВБ3С.48.xx.TR1000.1П.1.К,4 836 руб.,F187,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 10...1000 мм, Sn на тест-карту: 10...1500 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-48-xx-tr1000-1p-1-k
ВБ3С.48.xx.TR200.1П.1.К,4 836 руб.,F190,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 5...200 мм, Sn на тест-карту: 5...250 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-48-xx-tr200-1p-1-k
ВБ3С.48.xx.TR200.2П.1.С4.41,4 968 руб.,F191,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 5...200 мм, Sn на тест-карту: 5...250 мм, 1000 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3c-48-xx-tr200-2p-1-c4-41
