Название,Цена,Артикул,Описание,Ссылка
PS5-12M33-10N105-K,648 руб.,4673759507531,"Магниточувствительный датчик с герконом, M12, L-33 мм, Sn 10 мм, не заподлицо, -25...+70 °C, кабель ПВХ 5,5 мм/2x0,35/ 2 м.",https://mega-k.com/products/ps5-12m33-10n105-k
PS5-12M33-10N105-K3A2,972 руб.,4673759507548,"Магниточувствительный датчик с герконом, M12, L-33 мм, Sn 10 мм, не заподлицо, -25...+70 °C, разъем Superseal 1,5 (2-контактный), кабель 3 м.",https://mega-k.com/products/ps5-12m33-10n105-k3a2
PS5-12M33-B11-K,660 руб.,4673759507562,"Магниточувствительный датчик с герконом, M12, L-33 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps5-12m33-b11-k
PS5-12M33-B21-K,660 руб.,4673759507586,"Магниточувствительный датчик с герконом, M12, L-33 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps5-12m33-b21-k
PS5-42-105-K,744 руб.,4673759507593,"Магниточувствительный датчик с герконом, замыкающий, NO, -25...+75 °C, кабель ПВХ 3 мм/2x0,12/ 2 м.",https://mega-k.com/products/ps5-42-105-k
PS5-43-10N105-K,684 руб.,4673759507609,"Магниточувствительный датчик с герконом, Sn 10 мм, не заподлицо, -25...+75 °C, кабель ПВХ 3,7х5,9 мм/2x0,5/ 2 м.",https://mega-k.com/products/ps5-43-10n105-k
PS5-43-10N105-K03,456 руб.,4673759507616,"Магниточувствительный датчик с герконом, Sn 10 мм, не заподлицо, -25...+75 °C, кабель ПВХ 3,7х5,9 мм/2x0,5/ 0,3 м.",https://mega-k.com/products/ps5-43-10n105-k03
PS5-43-10N115-K,684 руб.,4673759514720,"Магниточувствительный датчик с герконом, Sn 10 мм, не заподлицо, -25...+75 °C, кабель ПВХ 3,7х5,9 мм/2x0,5/ 2 м.",https://mega-k.com/products/ps5-43-10n115-k
PS5B-18M100-5-K30,624 руб.,4673759510920,"Магниточувствительный бистабильный датчик с поляризованным герконом и с кронштейном, пластик, M18, L-100 мм, кабель ПВХ 3,7х5,9 мм/2x0,5/ 3 м.",https://mega-k.com/products/ps5b-18m100-5-k30
PS5B-43-20N105-K,936 руб.,4673759507623,"Магниточувствительный бистабильный датчик с поляризованным герконом, Sn 20 мм, -25...+70 °C, кабель ПВХ 3,7х5,9 мм/2x0,5/ 2 м.",https://mega-k.com/products/ps5b-43-20n105-k
PS5L-12M33-105-K,648 руб.,4673759507630,"Магниточувствительный датчик с герконом, M12, L-33 мм, Sn 15...25 мм, NO, двухпроводный, кабель ПВХ 3,7х5,9 мм/2x0,5/ 2 м.",https://mega-k.com/products/ps5l-12m33-105-k
PS5M-18M100-75-K30,624 руб.,4673759510883,"Магниточувствительный датчик с герконом с кронштейном, M18, L-100 мм, Sn 15...30 мм, кабель ПВХ 3,7х5,9 мм/2x0,5/ 3 м.",https://mega-k.com/products/ps5m-18m100-75-k30
PS9M-1,300 руб.,4673759512610,"Магнитный инициатор для PS5-12M33-10N105-К, PS5-12M33-B11-K, PS5-12M33-B21-K, PS5-12M50-X11-C4, PS5-12M90-X11-C4.",https://mega-k.com/products/ps9m-1
PS9M-4,24 руб.,4673759514744,Магнитный инициатор для PS5В-18М100-5-К.,https://mega-k.com/products/ps9m-4
PS9M-43,120 руб.,4673759507685,Магнитный инициатор бистабильного датчика PS5B-43-20N105-К.,https://mega-k.com/products/ps9m-43
PS9M-43-1,108 руб.,4673759514768,Магнитный инициатор для PS5-43-10N105-К.,https://mega-k.com/products/ps9m-43-1
ВБ5.43R.6.11.5.К,420 руб.,1564,"Выключатель, NC, АБС, Sn 6 мм, 2 провода.",https://mega-k.com/products/vb5-43r-6-11-5-k
ВБУ1.68,2 070 руб.,C924,"Магниточувствительный датчик уровня. Длина погружаемой части - 68 мм, корпус - латунь.",https://mega-k.com/products/vbu1-68
ВБУ1.68М,2 232 руб.,C925,"Магниточувствительный датчик уровня. Длина погружаемой части - 68 мм, корпус - латунь.",https://mega-k.com/products/vbu1-68m
ВБУ1.68Н,4 468 руб.,C958,"Магниточувствительный датчик уровня. Длина погружаемой части - 68 мм, корпус - нержавеющая сталь.",https://mega-k.com/products/vbu1-68n
ВБУ2.100,2 634 руб.,C929,"Магниточувствительный датчик уровня. Длина погружаемой части - 100 мм, корпус - латунь.",https://mega-k.com/products/vbu2-100
ВБУ3.100,2 616 руб.,C940,"Магниточувствительный датчик уровня. Длина погружаемой части - 100 мм, корпус - латунь.",https://mega-k.com/products/vbu3-100
ВБУ33.100,2 796 руб.,C955,"Магниточувствительный датчик уровня. Длина погружаемой части - 100 мм, корпус - латунь.",https://mega-k.com/products/vbu33-100
Инициатор магнитный БМ5.43R,132 руб.,1565,Магнитный инициатор ВБ5.43R.6.11.5.K.,https://mega-k.com/products/bm5-43r
VB5-43-10N105-K03,Цена не указана,D520,"Магниточувствительный датчик, геркон, Sn 10 мм, не заподлицо, -25...+75 °C, кабель ПВХ 3,7х5,9 мм/2x0,5/ 0,3 м.",https://mega-k.com/products/vb5-43-10n105-k03
БМ1,Цена не указана,D511,"Магнитный инициатор для PS5-12M33-10N105-К, PS5-12M33-B11-K, PS5-12M33-B21-K, PS5-12M50-X11-C4, PS5-12M90-X11-C4.",https://mega-k.com/products/ps9m-1-bm1
ВБ5.12М.33.хх.1.1.К,Цена не указана,D508,"Магниточувствительный датчик, геркон, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb5-12m-33-xx-1-1-k
ВБ5.12М.33.хх.2.1.К,Цена не указана,D509,"Магниточувствительный датчик, геркон, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb5-12m-33-xx-2-1-k
ВБ5.42.хх.хх.10.5.К,Цена не указана,D512,"Магниточувствительный датчик, геркон, замыкающий, NO, -25...+75 °C, кабель ПВХ 3 мм/2x0,12/ 2 м.",https://mega-k.com/products/vb5-42-xx-xx-10-5-k
ВБ5.43.хх.хх.10.5.К,Цена не указана,D504,"Магниточувствительный датчик, геркон, -25...+75 °C, 5...30 V DC, кабель ПВХ 3,7х5,9 мм/2x0,5/ 2 м.",https://mega-k.com/products/vb5-43-xx-xx-10-5-k
ВБ5.43.хх.хх.11.5.К,Цена не указана,D505,"Магниточувствительный датчик, геркон, -25...+75 °C, кабель ПВХ 3,7х5,9 мм/2x0,5/ 2 м.",https://mega-k.com/products/vb5-43-xx-xx-11-5-k
Инициатор магнитный БМ5.43,Цена не указана,D507,Магнитный инициатор бистабильного датчика PS5B-43-20N105-К.,https://mega-k.com/products/bm-43
Инициатор магнитный БМ5.43.11,Цена не указана,D506,Магнитный инициатор для PS5-43-10N115-К.,https://mega-k.com/products/bm-43-11
