Название,Цена,Артикул,Описание,Ссылка
PS1Y-34G80-3N11-Z,1 956 руб.,4673759505353,"Емкостный датчик, L-80 мм, Sn 3 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1y-34g80-3n11-z
PS1Y-34G80-3N11-Z-T2,2 556 руб.,4673759500006,"Емкостный датчик, L-80 мм, Sn 3 мм, не заподлицо, PNP, замыкающий, NO, -25...+105 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1y-34g80-3n11-z-t2
PS1Y-34G80-3N15-Z,2 076 руб.,4673759505360,"Емкостный датчик, L-80 мм, Sn 3 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 12...150 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1y-34g80-3n15-z
PS1Y-34G80-3N21-Z,1 956 руб.,4673759500013,"Емкостный датчик, L-80 мм, Sn 3 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1y-34g80-3n21-z
PS1Y-34G80-3N31-Z,2 004 руб.,4673759505377,"Емкостный датчик, L-80 мм, Sn 3 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1y-34g80-3n31-z
PS1Y-34G80-3N41-Z,2 004 руб.,4673759500020,"Емкостный датчик, L-80 мм, Sn 3 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1y-34g80-3n41-z
PS1Y-34G85-3N11-C4,2 064 руб.,4673759500037,"Емкостный датчик, L-85 мм, Sn 3 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1y-34g85-3n11-c4
PS1Y-34G85-3N11-C4-T2,2 688 руб.,4673759500044,"Емкостный датчик, L-85 мм, Sn 3 мм, не заподлицо, PNP, замыкающий, NO, -25...+105 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1y-34g85-3n11-c4-t2
PS1Y-34G85-3N15-C4,2 172 руб.,4673759512214,"Емкостный датчик, L-85 мм, Sn 3 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 12...150 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1y-34g85-3n15-c4
PS1Y-34G85-3N15-C4-T2,2 688 руб.,4673759500051,"Емкостный датчик, L-85 мм, Sn 3 мм, не заподлицо, PNP, замыкающий, NO, -25...+105 °C, 12...150 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1y-34g85-3n15-c4-t2
PS1Y-34G85-3N21-C4,2 064 руб.,4673759501010,"Емкостный датчик, L-85 мм, Sn 3 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1y-34g85-3n21-c4
