Название,Цена,Артикул,Описание,Ссылка
PS1-30M115-10B11-T,2 964 руб.,4673759511415,"Емкостный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps1-30m115-10b11-t
PS1-30M115-10B21-T,2 964 руб.,4673759511422,"Емкостный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps1-30m115-10b21-t
PS1-30M115-10B31-T,2 964 руб.,4673759511439,"Емкостный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps1-30m115-10b31-t
PS1-30M115-10B41-T,2 964 руб.,4673759511446,"Емкостный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps1-30m115-10b41-t
PS1-30M115-30N51-T,2 688 руб.,4673759505261,"Емкостный датчик, М30, L-115 мм, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps1-30m115-30n51-t
PS1-30M115-30N61-T,2 688 руб.,4673759511453,"Емкостный датчик, М30, L-115 мм, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps1-30m115-30n61-t
PS1-30M53-10B11-K,2 448 руб.,4673759504813,"Емкостный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-30m53-10b11-k
PS1-30M53-10B21-K,2 448 руб.,4673759504837,"Емкостный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-30m53-10b21-k
PS1-30M53-10B31-K,2 448 руб.,4673759511354,"Емкостный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-30m53-10b31-k
PS1-30M53-10B41-K,2 448 руб.,4673759504844,"Емкостный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-30m53-10b41-k
PS1-30M53-30N51-K,2 028 руб.,4673759504882,"Емкостный датчик, М30, L-53 мм, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-30m53-30n51-k
PS1-30M53-30N61-K,2 028 руб.,4673759511460,"Емкостный датчик, М30, L-53 мм, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-30m53-30n61-k
