Название,Цена,Артикул,Описание,Ссылка
PS2-30M115-10B11-T,2 280 руб.,4673759512085,"Индуктивный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-10b11-t
PS2-30M115-10B21-T,2 280 руб.,4673759513341,"Индуктивный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-10b21-t
PS2-30M115-10B31-T,2 280 руб.,4673759512436,"Индуктивный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-10b31-t
PS2-30M115-10B41-T,2 280 руб.,4673759513358,"Индуктивный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-10b41-t
PS2-30M115-10B51-T,2 460 руб.,4673759513365,"Индуктивный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-10b51-t
PS2-30M115-10B61-T,2 460 руб.,4673759506145,"Индуктивный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-10b61-t
PS2-30M115-10B74-T,2 460 руб.,4673759513372,"Индуктивный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, замыкающий, NO, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-10b74-t
PS2-30M115-10B84-T,2 508 руб.,4673759511224,"Индуктивный датчик, М30, L-115 мм, Sn 10 мм, заподлицо, размыкающий, NC, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-10b84-t
PS2-30M115-15N11-T,2 280 руб.,4673759511989,"Индуктивный датчик, М30, L-115 мм, Sn 15 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-15n11-t
PS2-30M115-15N21-T,2 280 руб.,4673759506152,"Индуктивный датчик, М30, L-115 мм, Sn 15 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-15n21-t
PS2-30M115-15N31-T,2 280 руб.,4673759513389,"Индуктивный датчик, М30, L-115 мм, Sn 15 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-15n31-t
PS2-30M115-15N41-T,2 280 руб.,4673759513396,"Индуктивный датчик, М30, L-115 мм, Sn 15 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-15n41-t
PS2-30M115-15N51-T,2 460 руб.,4673759506169,"Индуктивный датчик, М30, L-115 мм, Sn 15 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-15n51-t
PS2-30M115-15N61-T,2 460 руб.,4673759513402,"Индуктивный датчик, М30, L-115 мм, Sn 15 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-15n61-t
PS2-30M115-15N74-T,2 460 руб.,4673759513419,"Индуктивный датчик, М30, L-115 мм, Sn 15 мм, не заподлицо, замыкающий, NO, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-15n74-t
PS2-30M115-15N84-T,2 508 руб.,4673759513426,"Индуктивный датчик, М30, L-115 мм, Sn 15 мм, не заподлицо, размыкающий, NC, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, клеммная коробка/вывод прямо и вбок.",https://mega-k.com/products/ps2-30m115-15n84-t
PS2-30M33-10B11-K,1 728 руб.,4673759505384,"Индуктивный датчик, М30, L-33 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m33-10b11-k
PS2-30M33-10B21-K,1 728 руб.,4673759505407,"Индуктивный датчик, М30, L-33 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m33-10b21-k
PS2-30M33-10B31-K,1 728 руб.,4673759512207,"Индуктивный датчик, М30, L-33 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m33-10b31-k
PS2-30M33-10B41-K,1 728 руб.,4673759513433,"Индуктивный датчик, М30, L-33 мм, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m33-10b41-k
PS2-30M33-15N11-K,1 728 руб.,4673759511026,"Индуктивный датчик, М30, L-33 мм, Sn 15 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m33-15n11-k
