Название,Цена,Артикул,Описание,Ссылка
PS1-18M75-15N51-K,1 920 руб.,4673759504721,"Емкостный датчик, М18, L-75 мм, Sn 15 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, Кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-18m75-15n51-k
PS1-18M75-15N61-K,1 920 руб.,4673759504738,"Емкостный датчик, М18, L-75 мм, Sn 15 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, Кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-18m75-15n61-k
PS1-18M75-5B11-K,2 328 руб.,4673759504639,"Емкостный датчик, М18, L-75 мм, Sn 5 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-18m75-5b11-k
PS1-18M75-5B21-K,2 328 руб.,4673759504653,"Емкостный датчик, М18, L-75 мм, Sn 5 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-18m75-5b21-k
PS1-18M75-5B31-K,2 388 руб.,4673759504660,"Емкостный датчик, М18, L-75 мм, Sn 5 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-18m75-5b31-k
PS1-18M75-5B41-K,2 388 руб.,4673759504677,"Емкостный датчик, М18, L-75 мм, Sn 5 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-18m75-5b41-k
PS1-18M90-15N51-B,2 256 руб.,4673759504776,"Емкостный датчик, М18, L-90 мм, Sn 15 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-18m90-15n51-b
PS1-18M90-15N51-Z,1 920 руб.,4673759504783,"Емкостный датчик, М18, L-90 мм, Sn 15 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-18m90-15n51-z
PS1-18M90-15N61-B,2 256 руб.,4673759504790,"Емкостный датчик, М18, L-90 мм, Sn 15 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-18m90-15n61-b
PS1-18M90-15N61-Z,1 920 руб.,4673759504806,"Емкостный датчик, М18, L-90 мм, Sn 15 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-18m90-15n61-z
PS1-18M90-5B11-B,2 652 руб.,4673759504745,"Емкостный датчик, М18, L-90 мм, Sn 5 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-18m90-5b11-b
PS1-18M90-5B11-Z,2 328 руб.,4673759504752,"Емкостный датчик, М18, L-90 мм, Sn 5 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-18m90-5b11-z
PS1-18M90-5B21-B,2 652 руб.,4673759511392,"Емкостный датчик, М18, L-90 мм, Sn 5 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-18m90-5b21-b
PS1-18M90-5B21-Z,2 328 руб.,4673759511378,"Емкостный датчик, М18, L-90 мм, Sn 5 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-18m90-5b21-z
PS1-18M90-5B31-B,2 748 руб.,4673759504769,"Емкостный датчик, М18, L-90 мм, Sn 5 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-18m90-5b31-b
PS1-18M90-5B31-Z,2 388 руб.,4673759511361,"Емкостный датчик, М18, L-90 мм, Sn 5 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-18m90-5b31-z
PS1-18M90-5B41-B,2 748 руб.,4673759511408,"Емкостный датчик, М18, L-90 мм, Sn 5 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-18m90-5b41-b
PS1-18M90-5B41-Z,2 388 руб.,4673759511385,"Емкостный датчик, М18, L-90 мм, Sn 5 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-18m90-5b41-z
ВБ1.18М.75.10.1.1.К,Цена не указана,D365,"Емкостный датчик, М18, L-75 мм, Sn 10 мм, не заподлицо, PNP, замыкающий (NO), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-18m-75-10-1-1-k
ВБ1.18М.75.10.2.1.К,Цена не указана,D364,"Емкостный датчик, М18, L-75 мм, Sn 10 мм, не заподлицо, NPN, замыкающий (NO), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-18m-75-10-2-1-k
ВБ1.18М.75.10.3.1.К,Цена не указана,D366,"Емкостный датчик, М18, L-75 мм, Sn 10 мм, не заподлицо, PNP, размыкающий (NС), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-18m-75-10-3-1-k
ВБ1.18М.75.10.4.1.К,Цена не указана,D367,"Емкостный датчик, М18, L-75 мм, Sn 10 мм, не заподлицо, NPN, размыкающий (NC), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-18m-75-10-4-1-k
ВБ1.18М.75.5.1.1.К,Цена не указана,D360,"Емкостный датчик, М18, L-75 мм, Sn 5 мм, заподлицо, PNP, замыкающий (NO), замыкающий, NO, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-18m-75-5-1-1-k
ВБ1.18М.75.5.3.1.К,Цена не указана,D361,"Емкостный датчик, М18, L-75 мм, Sn 5 мм, заподлицо, PNP, размыкающий (NС), размыкающий, NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-18m-75-5-3-1-k
ВБ1.18М.90.10.1.1.Z,Цена не указана,D373,"Емкостный датчик, М18, L-90 мм, Sn 10 мм, не заподлицо, PNP, замыкающий (NO), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-18m-90-10-1-1-z
