Название,Цена,Артикул,Описание,Ссылка
ВБ3.64.1020-20-51.Т/R6000.1.1.С4,80 616 руб.,F031,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 1020 мм, размер контролируемого объекта: 25 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-64-1020-20-51-tr6000-1-1-c4
ВБ3.64.600-20-30.Т/R6000.1.1.С4,55 752 руб.,F033,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 600 мм, размер контролируемого объекта: 25 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-64-600-20-30-tr6000-1-1-c4
ВБ3.64.640-20-32.Т/R6000.1.1.С4,58 368 руб.,F035,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 640 мм, размер контролируемого объекта: 25 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-64-640-20-32-tr6000-1-1-c4
ВБ3.64.800-80-10.Т/R6000.1.1.С4,45 912 руб.,F037,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 800 мм, размер контролируемого объекта: 85 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-64-800-80-10-tr6000-1-1-c4
ВБ3.64.920-40-23.Т/R6000.1.1.С4,58 800 руб.,F039,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 920 мм, размер контролируемого объекта: 45 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-64-920-40-23-tr6000-1-1-c4
ВБ3.64.960-40-24.Т/R6000.1.1.С4,61 140 руб.,F041,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 960 мм, размер контролируемого объекта: 45 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-64-960-40-24-tr6000-1-1-c4
ВБ3.65.160-20-08.Т/R6000.1.1.С4,25 142 руб.,F043,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 160 мм, размер контролируемого объекта: 25 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-65-160-20-08-tr6000-1-1-c4
ВБ3.65.200-20-10.Т/R6000.1.1.С4,28 274 руб.,F045,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 200 мм, размер контролируемого объекта: 25 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-65-200-20-10-tr6000-1-1-c4
ВБ3.65.240-20-12.Т/R6000.1.1.С4,31 440 руб.,F047,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 240 мм, размер контролируемого объекта: 25 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-65-240-20-12-tr6000-1-1-c4
ВБ3.65.280-20-14.Т/R6000.1.1.С4,34 512 руб.,F049,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 280 мм, размер контролируемого объекта: 25 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-65-280-20-14-tr6000-1-1-c4
ВБ3.65.280-40-07.Т/R6000.1.1.С4,29 892 руб.,F051,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 280 мм, размер контролируемого объекта: 45 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-65-280-40-07-tr6000-1-1-c4
ВБ3.65.300-20-15.Т/R6000.1.1.С4,36 192 руб.,F053,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 300 мм, размер контролируемого объекта: 25 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-65-300-20-15-tr6000-1-1-c4
ВБ3.65.320-20-16.Т/R6000.1.1.С4,37 764 руб.,F055,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 320 мм, размер контролируемого объекта: 25 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-65-320-20-16-tr6000-1-1-c4
ВБ3.65.360-40-09.Т/R6000.1.1.С4,33 036 руб.,F057,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 360 мм, размер контролируемого объекта: 45 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-65-360-40-09-tr6000-1-1-c4
ВБ3.65.400-40-10.Т/R6000.1.1.С4,34 596 руб.,F059,"Оптический фотобарьер в корпусе из алюминиевого сплава. Ширина контролируемой зоны: 6 м, высота контролируемой зоны: 400 мм, размер контролируемого объекта: 45 мм, рабочее напряжение питания: 10...30 V DC, способ подключения: разъем/М12/4-конт",https://mega-k.com/products/vb3-65-400-40-10-tr6000-1-1-c4
