Название,Цена,Артикул,Описание,Ссылка
PS2D-18M65-5B91-K,1 824 руб.,4673759506909,"Индуктивный датчик, М18, L-65 мм, Sn 5 мм, заподлицо, PNP, -25...+70 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2d-18m65-5b91-k
PS2D-18M65-8N91-K,1 824 руб.,4673759506930,"Индуктивный датчик, М18, L-65 мм, Sn 8 мм, не заподлицо, PNP, -25...+70 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2d-18m65-8n91-k
PS2D-18M75-5B91-C4,1 884 руб.,4673759506947,"Индуктивный датчик, М18, L-75 мм, Sn 5 мм, заподлицо, PNP, -25...+70 °C, 12...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2d-18m75-5b91-c4
PS2D-18M75-8N91-C4,1 884 руб.,4673759506954,"Индуктивный датчик, М18, L-75 мм, Sn 8 мм, не заподлицо, PNP, -25...+70 °C, 12...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2d-18m75-8n91-c4
PS2D-18M80-5B91-Z,1 824 руб.,4673759514775,"Индуктивный датчик, М18, L-80 мм, Sn 5 мм, заподлицо, PNP, -25...+70 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2d-18m80-5b91-z
PS2D-18M80-8N91-Z,1 824 руб.,4673759506961,"Индуктивный датчик, М18, L-80 мм, Sn 8 мм, не заподлицо, PNP, -25...+70 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2d-18m80-8n91-z
PS2D-18M90-5B91-B,2 040 руб.,4673759514782,"Индуктивный датчик, М18, L-90 мм, Sn 5 мм, заподлицо, PNP, -25...+70 °C, 12...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2d-18m90-5b91-b
PS2D-18M90-8N91-B,2 040 руб.,4673759512719,"Индуктивный датчик, М18, L-90 мм, Sn 8 мм, не заподлицо, PNP, -25...+70 °C, 12...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2d-18m90-8n91-b
ДБ2.18М.65.5.9Т.1.К,Цена не указана,C799,"Индуктивный датчик, М18, L-65 мм, Sn 5 мм, заподлицо, PNP, -25...+75 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2d-18m65-5b91-k
ДБ2.18М.65.8.9Т.1.К,Цена не указана,C801,"Индуктивный датчик, М18, L-65 мм, Sn 8 мм, не заподлицо, PNP, -25...+75 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2d-18m65-8n91-k
ДБ2.18М.75.5.9Т.1.С4,Цена не указана,C803,"Индуктивный датчик, М18, L-75 мм, Sn 5 мм, заподлицо, PNP, -25...+75 °C, 12...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2d-18m75-5b91-c4
ДБ2.18М.75.8.9Т.1.С4,Цена не указана,C804,"Индуктивный датчик, М18, L-75 мм, Sn 8 мм, не заподлицо, PNP, -25...+75 °C, 12...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2d-18m75-8n91-c4
ДБ2.18М.90.5.9Т.1.В,Цена не указана,C806,"Индуктивный датчик, М18, L-90 мм, Sn 5 мм, заподлицо, PNP, -25...+75 °C, 12...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb2d-18m90-5b91-b
ДБ2.18М.90.8.9Т.1.В,Цена не указана,C805,"Индуктивный датчик, М18, L-90 мм, Sn 8 мм, не заподлицо, PNP, -25...+75 °C, 12...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb2d-18m90-8n91-b
