Название,Цена,Артикул,Описание,Ссылка
PS2R1-18M65-5B11-K,2 352 руб.,4673759507012,"Частотный датчик, М18, L-65 мм, 0,1...5 Гц, Sn 5 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m65-5b11-k
PS2R1-18M65-5B21-K,2 352 руб.,4673759514829,"Частотный датчик, М18, L-65 мм, 0,1...5 Гц, Sn 5 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m65-5b21-k
PS2R1-18M65-5B31-K,2 400 руб.,4673759514836,"Частотный датчик, М18, L-65 мм, 0,1...5 Гц, Sn 5 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m65-5b31-k
PS2R1-18M65-5B41-K,2 400 руб.,4673759514843,"Частотный датчик, М18, L-65 мм, 0,1...5 Гц, Sn 5 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m65-5b41-k
PS2R1-18M65-8N11-K,2 352 руб.,4673759514850,"Частотный датчик, М18, L-65 мм, 0,1...5 Гц, Sn 8 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m65-8n11-k
PS2R1-18M65-8N21-K,2 352 руб.,4673759514867,"Частотный датчик, М18, L-65 мм, 0,1...5 Гц, Sn 8 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m65-8n21-k
PS2R1-18M65-8N31-K,2 400 руб.,4673759514874,"Частотный датчик, М18, L-65 мм, 0,1...5 Гц, Sn 8 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m65-8n31-k
PS2R1-18M65-8N41-K,2 400 руб.,4673759514881,"Частотный датчик, М18, L-65 мм, 0,1...5 Гц, Sn 8 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m65-8n41-k
PS2R1-18M75-5B51-K,2 532 руб.,4673759514898,"Частотный датчик, М18, L-75 мм, 0,1...5 Гц, Sn 5 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2r1-18m75-5b51-k
PS2R1-18M75-8N51-K,2 532 руб.,4673759511859,"Частотный датчик, М18, L-75 мм, 0,1...5 Гц, Sn 8 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2r1-18m75-8n51-k
PS2R1-18M80-5B11-Z,2 352 руб.,4673759514904,"Частотный датчик, М18, L-80 мм, 0,1...5 Гц, Sn 5 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m80-5b11-z
PS2R1-18M80-5B21-Z,2 352 руб.,4673759514911,"Частотный датчик, М18, L-80 мм, 0,1...5 Гц, Sn 5 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m80-5b21-z
PS2R1-18M80-5B31-Z,2 400 руб.,4673759514928,"Частотный датчик, М18, L-80 мм, 0,1...5 Гц, Sn 5 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m80-5b31-z
PS2R1-18M80-5B41-Z,2 400 руб.,4673759514935,"Частотный датчик, М18, L-80 мм, 0,1...5 Гц, Sn 5 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m80-5b41-z
PS2R1-18M80-8N11-Z,2 352 руб.,4673759514942,"Частотный датчик, М18, L-80 мм, 0,1...5 Гц, Sn 8 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m80-8n11-z
PS2R1-18M80-8N21-Z,2 352 руб.,4673759507029,"Частотный датчик, М18, L-80 мм, 0,1...5 Гц, Sn 8 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m80-8n21-z
PS2R1-18M80-8N31-Z,2 400 руб.,4673759514959,"Частотный датчик, М18, L-80 мм, 0,1...5 Гц, Sn 8 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m80-8n31-z
PS2R1-18M80-8N41-Z,2 400 руб.,4673759514966,"Частотный датчик, М18, L-80 мм, 0,1...5 Гц, Sn 8 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-18m80-8n41-z
PS2R1-18M90-5B51-Z,2 532 руб.,4673759514973,"Частотный датчик, М18, L-90 мм, 0,1...5 Гц, Sn 5 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2r1-18m90-5b51-z
