Column1;Column2;Column3;Column4;Column5
name;price;info;link;is_available
Оптический датчик расстояния LANBAO PDB-CM8TGI;30 550 руб.;"Класс лазера:; 3; Страна происхождения:; Китай; Серия:; PDB; Диапазоны измерения расстояния:; 1 м ...< 10 м; Дальность измерения Max, м:; 8; Дальность измерения Min, мм:; 200";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cm8tgi/;в наличии
Оптический датчик расстояния IFM Electronic O1D100;43 900 руб.;"Размер светового пятна, мм:; 15x15; Класс лазера:; 2; Диапазоны измерения расстояния:; 10 м ...< 20 м; Дальность измерения Min, м:; 0,2; Дальность измерения Max, м:; 10; Температура эксплуатации Max, °C:; 60";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o1d100/;в наличии
Оптический датчик расстояния LANBAO PDB-CM8TGU;30 550 руб.;"Класс лазера:; 3; Страна происхождения:; Китай; Серия:; PDB; Диапазоны измерения расстояния:; 1 м ...< 10 м; Дальность измерения Max, м:; 8; Дальность измерения Min, мм:; 200";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cm8tgu/;в наличии
Оптический датчик расстояния LANBAO PDB-CC50TGI;30 550 руб.;"Размер светового пятна, мм:; 2,5; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDB; Время отклика, мс:; 2/16/40; Потребляемая мощность, Вт:; 0,7";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cc50tgi/;в наличии
Датчик скорости вращения IFM Electronic DI602A;44 200 руб.;"Длина корпуса, мм:; 82; Размер резьбы корпуса:; M30";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di602a/;под заказ
Датчик скорости вращения СЕНСОР ДКС-М30-81С-1113-ЛГ.01;8 679 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,4; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 0,1-2,5; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81s_1113_lg_01/;под заказ
Оптический датчик расстояния LANBAO PDA-CC100TGI;58 290 руб.;"Размер светового пятна, мм:; 3; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDA; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Max, м:; 1";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc100tgi/;в наличии
Датчик скорости вращения IFM Electronic DI0101;34 700 руб.;"Длина корпуса, мм:; 80; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di0101/;под заказ
Оптический датчик расстояния LANBAO PDA-CC50TGI;50 580 руб.;"Размер светового пятна, мм:; 2,5; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDA; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 80";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc50tgi/;в наличии
