name,price,info,link,is_available
Ротационный датчик уровня INNOLevel IL-LEA-N,19 100 руб.,"Класс защиты:; 1; Страна происхождения:; Россия; Число оборотов, об/мин:; 1; Серия:; N; Плотность среды, г/см3:; 0,1; Максимальная величина частиц, мм:; 50",https://sensoren.ru/product/rotatsionnyy_datchik_urovnya_innolevel_il_lea_n/,в наличии
Ротационный датчик уровня INNOLevel IL-LAA-N,15 750 руб.,"Класс защиты:; 1; Страна происхождения:; Россия; Число оборотов, об/мин:; 1; Серия:; N; Плотность среды, г/см3:; 0,1; Максимальная величина частиц, мм:; 50",https://sensoren.ru/product/rotatsionnyy_datchik_urovnya_innolevel_il_laa_n/,в наличии
Датчик уровня EMA Electronics LB0001,29 086 руб.,"Страна происхождения:; Китай; Серия:; LB; Длина корпуса, мм:; 108,3; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -40; Температура измеряемой среды Min, °C:; -40",https://sensoren.ru/product/datchik_urovnya_ema_electronics_lb0001/,в наличии
Датчик уровня IFM Electronic LMT104,56 900 руб.,"Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -20; Температура измеряемой среды Min, °C:; -20; Температура измеряемой среды Max, °C:; 85",https://sensoren.ru/product/datchik_urovnya_ifm_electronic_lmt104/,под заказ
Емкостной уровнемер IFM Electronic LK8124,103 900 руб.,"Температура эксплуатации Max, °C:; 60; Температура измеряемой среды Max, °C:; 55; Размер цилиндрического корпуса, мм:; 16",https://sensoren.ru/product/emkostnoy_urovnemer_ifm_electronic_lk8124/,под заказ
Поплавковый датчик уровня INNOLevel IL-BA-V-P1/8PF-P25,870 руб.,"Страна происхождения:; Россия; Серия:; BA-V; Напряжение, В:; 220 AC/24 DC; Температура измеряемой среды Min, °C:; -20; Температура измеряемой среды Max, °C:; 80; Размер резьбы корпуса:; 1/8PF",https://sensoren.ru/product/poplavkovyy_datchik_urovnya_innolevel_il_ba_v_p1_8pf_p25/,под заказ
Датчик уровня вибрационный INNOLevel IL-VM-N-Ex,43 800 руб.,"Класс защиты:; 1; Страна происхождения:; Россия; Серия:; VIBRO N-Ex; Плотность среды, г/см3:; 0,01; Максимальная величина частиц, мм:; 8",https://sensoren.ru/product/datchik_urovnya_vibratsionnyy_innolevel_il_vm_n_ex/,под заказ
Емкостной датчик уровня IFM Electronic KI6000,21 400 руб.,"Контакт со средой:; Контактирующий со средой; Длина корпуса, мм:; 92; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Температура измеряемой среды Min, °C:; -25; Температура измеряемой среды Max, °C:; 110",https://sensoren.ru/product/emkostnoy_datchik_urovnya_ifm_electronic_ki6000/,под заказ
Емкостной датчик уровня IFM Electronic KG5040,28 100 руб.,"Контакт со средой:; Контактирующий со средой; Длина корпуса, мм:; 110; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M18",https://sensoren.ru/product/emkostnoy_datchik_urovnya_ifm_electronic_kg5040/,под заказ
Ротационный датчик уровня INNOLevel IL-LAS-N,18 660 руб.,"Класс защиты:; 1; Страна происхождения:; Россия; Число оборотов, об/мин:; 1; Серия:; N; Плотность среды, г/см3:; 0,1; Максимальная величина частиц, мм:; 50",https://sensoren.ru/product/rotatsionnyy_datchik_urovnya_innolevel_il_las_n/,под заказ
Поплавковый датчик уровня INNOLevel IL-BA-H-P16-P,1 210 руб.,"Страна происхождения:; Россия; Серия:; BA-H; Напряжение, В:; 220 AC/24 DC; Температура измеряемой среды Min, °C:; -20; Температура измеряемой среды Max, °C:; 80; Размер резьбы корпуса:; M16",https://sensoren.ru/product/poplavkovyy_datchik_urovnya_innolevel_il_ba_h_p16_p/,под заказ
Гидростатический датчик уровня IFM Electronic PS3407,105 300 руб.,"Диапазон измерения, Бар:; 0-0,6; Температура эксплуатации Max, °C:; 50; Температура эксплуатации Min, °C:; -10; Температура измеряемой среды Min, °C:; -10; Температура измеряемой среды Max, °C:; 50",https://sensoren.ru/product/gidrostaticheskiy_datchik_urovnya_ifm_electronic_ps3407/,под заказ
Датчик уровня EMA Electronics LC0101,41 057 руб.,"Страна происхождения:; Китай; Серия:; LC01; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -40; Температура измеряемой среды Min, °C:; -40; Температура измеряемой среды Max, °C:; 200",https://sensoren.ru/product/datchik_urovnya_ema_electronics_lc0101/,под заказ
Гидростатический датчик уровня IFM Electronic PS3417,108 600 руб.,"Диапазон измерения, Бар:; 0-1; Температура эксплуатации Max, °C:; 50; Температура эксплуатации Min, °C:; -10; Температура измеряемой среды Min, °C:; -10; Температура измеряемой среды Max, °C:; 50",https://sensoren.ru/product/gidrostaticheskiy_datchik_urovnya_ifm_electronic_ps3417/,под заказ
Датчик уровня EMA Electronics LC0001,34 942 руб.,"Страна происхождения:; Китай; Серия:; LC00; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -40; Температура измеряемой среды Min, °C:; -40; Температура измеряемой среды Max, °C:; 120",https://sensoren.ru/product/datchik_urovnya_ema_electronics_lc0001/,под заказ
Датчик уровня вибрационный SICK LFV200-XXSGBTPM,42 450 руб.,"Число контактов, pin:; 4; Страна происхождения:; Германия; Серия:; LFV200; Температура измеряемой среды Min, °C:; -40; Температура измеряемой среды Max, °C:; 100",https://sensoren.ru/product/datchik_urovnya_vibratsionnyy_sick_lfv200_xxsgbtpm/,под заказ
Поплавковый датчик уровня INNOLevel IL-BA-H-P1/2NPT-P,1 210 руб.,"Страна происхождения:; Россия; Серия:; BA-H; Напряжение, В:; 220 AC/24 DC; Температура измеряемой среды Min, °C:; -20; Температура измеряемой среды Max, °C:; 80; Размер резьбы корпуса:; 1/2NPT",https://sensoren.ru/product/poplavkovyy_datchik_urovnya_innolevel_il_ba_h_p1_2npt_p/,под заказ
