name,price,info,link,is_available
Датчик контрастной метки LANBAO SPM-TPR-RGB,10 140 руб.,"Размер светового пятна, мм:; 1,5x7; Потребление тока, мА:; 35; Число контактов, pin:; 4; Страна происхождения:; Китай; Серия:; SPM; Время отклика, мс:; 0,2",https://sensoren.ru/product/datchik_kontrastnoy_metki_lanbao_spm_tpr_rgb/,в наличии
Оптоволоконный кабель Autonics FD-620-10,2 840 руб.,"Исполнение:; Резьбовой; Длина кабеля, мм:; 2000; Минимальный радиус изгиба, мм:; 30; Серия:; FD; Возможность резки кабеля:; да; Встроенная линза:; нет (опция)",https://sensoren.ru/product/optovolokonnyy_kabel_autonics_fd_620_10/,под заказ
Усилитель для оптоволоконных датчиков LANBAO FD3-PB11R,4 990 руб.,"Серия:; FD3; Защита от перегрузки:; да; Температура эксплуатации Max, °C:; 55; Температура эксплуатации Min, °C:; -20; Размер прямоугольного корпуса, мм:; 35x9,8x71,8; Сертификат соответствия:; EAC",https://sensoren.ru/product/usilitel_dlya_optovolokonnykh_datchikov_lanbao_fd3_pb11r/,в наличии
Датчик контрастной метки DATASENSING TLu-115,39 000 руб.,"Размер светового пятна, мм:; 1,5x5; Число контактов, pin:; 4; Температура эксплуатации Max, °C:; 55; Температура эксплуатации Min, °C:; -10; Наличие на складе г. Смоленск:; 20; Форма светового пятна:; Прямоугольное вертикальное",https://sensoren.ru/product/datchik_kontrastnoy_metki_datalogic_tlu_115/,в наличии
Оптоволоконный кабель LANBAO PFT-420-V,4 500 руб.,"Исполнение:; Резьбовой; Длина кабеля, мм:; 2000; Минимальный радиус изгиба, мм:; 25; Серия:; PFT; Гибкое волокно:; Да; Температура эксплуатации Max, °C:; 70",https://sensoren.ru/product/optovolokonnyy_kabel_lanbao_pft_420_v/,в наличии
Датчик контрастной метки LANBAO SPM-TNR-RGB,10 140 руб.,"Размер светового пятна, мм:; 1,5x7; Потребление тока, мА:; 35; Число контактов, pin:; 4; Страна происхождения:; Китай; Серия:; SPM; Время отклика, мс:; 0,2",https://sensoren.ru/product/datchik_kontrastnoy_metki_lanbao_spm_tnr_rgb/,в наличии
Датчик контрастной метки DATASENSING S8-PR-5-W03-PP,22 449 руб.,"Серия:; S8; Размер прямоугольного корпуса, мм:; 14x43x25; Артикул:; S8-PR-5-W03-PP; Код товара:; 950801060",https://sensoren.ru/product/datchik_kontrastnoy_metki_datalogic_s8_pr_5_w03_pp/,под заказ
Датчик контрастной метки DATASENSING TLu-111,,"Серия:; TLu; Размер прямоугольного корпуса, мм:; 31x58x82; Артикул:; TLu-111",https://sensoren.ru/product/datchik_kontrastnoy_metki_datalogic_tlu_111/,под заказ
Оптический датчик Wenglor OPT1545,51 300 руб.,"Класс защиты:; 3; Число контактов, pin:; 4; Источник излучения:; Светодиод; Время отклика, мс:; 5; Защита от перегрузки:; да; Температура эксплуатации Max, °C:; 60",https://sensoren.ru/product/opticheskiy_datchik_wenglor_opt1545/,под заказ
Датчик контраста SICK KTX-WP91142252ZZZZ,66 710 руб.,"Размер светового пятна, мм:; 0,9x3,8; Страна происхождения:; Германия; Серия:; KTX Prime; Источник излучения:; Светодиод; Допуск рабочего диапазона, мм:; 5; Метод настройки:; 1-но и 2-х точечное обучение, динамическое обучение, авторежим; Расположение источника света:; Короткая сторона",https://sensoren.ru/product/datchik_kontrasta_sick_ktx_wp91142252zzzz/,под заказ
Датчик контрастной метки DATASENSING TLu-011,,"Серия:; TLu; Размер прямоугольного корпуса, мм:; 31x58x82; Артикул:; TLU-011; Длина кабеля, м:; 2",https://sensoren.ru/product/datchik_kontrastnoy_metki_datalogic_tlu_011/,под заказ
Датчик контрастной метки DATASENSING TL46-WL-815L,56 028 руб.,"Серия:; TL46; Размер прямоугольного корпуса, мм:; 32x60x82; Артикул:; TL46-WL-815L; Код товара:; 954601030",https://sensoren.ru/product/datchik_kontrastnoy_metki_datalogic_tl46_wl_815l/,под заказ
Радарный датчик движения Banner Q120RA-EU-AFQ,494 500 руб.,"Число контактов, pin:; 5; Серия:; Q120R; Время отклика, мс:; 15; Ширина луча, °:; 24 x 50; Дальность обнаружения Max, м:; 12; Дальность обнаружения Min, м:; 2",https://sensoren.ru/product/radarnyy_datchik_dvizheniya_banner_q120ra_eu_afq/,под заказ
Оптоволоконный кабель IFM Electronic E20051,14 500 руб.,"Исполнение:; Резьбовой; Длина кабеля, мм:; 600; Минимальный радиус изгиба, мм:; 20; Длина чувствительной головки, мм:; 25; Температура эксплуатации Max, °C:; 80",https://sensoren.ru/product/optovolokonnyy_datchik_ifm_electronic_e20051/,под заказ
Датчик фотометки Leuze Electronic KRTL 3B/4.3111-S8,,"Размер светового пятна, мм:; 0,5x1; Число контактов, pin:; 4; Класс лазера:; 1; Серия:; 3B; Источник излучения:; Лазер; Температура эксплуатации Max, °C:; 55",https://sensoren.ru/product/datchik_fotometki_leuze_electronic_krtl_3b_4_3111_s8/,под заказ
Усилитель для оптоволоконных датчиков DATASENSING S5N-PA-2-E01-PP,11 710 руб.,"Расстояние срабатывания для датчиков диффузного отражения Max, мм:; 30; Расстояние срабатывания для световых барьеров Max, мм:; 100; Серия:; S5N; Размер резьбы корпуса:; M18; Артикул:; S5N-PA-2-E01-PP",https://sensoren.ru/product/usilitel_dlya_optovolokonnykh_datchikov_datalogic_s5n_pa_2_e01_pp/,под заказ
Оптоволоконный кабель IFM Electronic E20651,10 800 руб.,"Исполнение:; Резьбовой; Длина кабеля, мм:; 2000; Минимальный радиус изгиба, мм:; 30; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -40",https://sensoren.ru/product/optovolokonnyy_datchik_ifm_electronic_e20651/,под заказ
Усилитель для оптоволоконных датчиков IFM Electronic OU5043,52 300 руб.,"Расстояние срабатывания для датчиков диффузного отражения Max, мм:; 40; Расстояние срабатывания для световых барьеров Max, мм:; 120; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Размер прямоугольного корпуса, мм:; 28x16x56",https://sensoren.ru/product/usilitel_dlya_optovolokonnykh_datchikov_ifm_electronic_ou5043/,под заказ
Датчик контрастной метки DATASENSING TL46-W-815G,51 770 руб.,"Серия:; TL46; Размер прямоугольного корпуса, мм:; 32x60x82; Артикул:; TL46-W-815G; Код товара:; 954601060",https://sensoren.ru/product/datchik_kontrastnoy_metki_datalogic_tl46_w_815g/,под заказ
Световая завеса LANBAO LG20-T1605TNA-F2,40 110 руб.,"Страна происхождения:; Китай; Серия:; LG20; Минимальный размер объекта, мм:; 30; Расстояние между лучами, мм:; 20; Высота зоны контроля, мм:; 300; Ширина зоны контроля, мм:; 5000; Время отклика, мс:; 20",https://sensoren.ru/product/svetovaya_zavesa_lanbao_lg20_t1605tna_f2/,под заказ
Световая завеса DATASENSING AS1-LD-HR-010-J,99 469 руб.,"Серия:; AS1; Высота зоны контроля, мм:; 100; Ширина зоны контроля, мм:; 2000; Размер прямоугольного корпуса, мм:; 22x150x43",https://sensoren.ru/product/svetovaya_zavesa_datalogic_as1_ld_hr_010_j/,под заказ
Усилитель для оптоволоконных датчиков Autonics BF3RX-P,4 630 руб.,"Регулировка чувствительности:; да; Серия:; BF3; Температура эксплуатации Max, °C:; 50; Температура эксплуатации Min, °C:; -10; Размер прямоугольного корпуса, мм:; 15x39x70",https://sensoren.ru/product/usilitel_dlya_optovolokonnykh_datchikov_autonics_bf3rx_p/,под заказ
Оптоволоконный кабель LANBAO PFR-410-V,3 920 руб.,"Исполнение:; Резьбовой; Длина кабеля, мм:; 1000; Минимальный радиус изгиба, мм:; 25; Страна происхождения:; Китай; Серия:; PFR; Гибкое волокно:; Да",https://sensoren.ru/product/optovolokonnyy_kabel_lanbao_pfr_410_v/,в наличии
Оптический датчик Wenglor OPT1507,37 000 руб.,"Класс защиты:; 3; Число контактов, pin:; 4; Источник излучения:; Светодиод; Время отклика, мс:; 5; Защита от перегрузки:; да; Температура эксплуатации Max, °C:; 60",https://sensoren.ru/product/opticheskiy_datchik_wenglor_opt1507/,под заказ
Усилитель для оптоволоконных датчиков DATASENSING S7-7-E-N,18 415 руб.,"Расстояние срабатывания для датчиков диффузного отражения Max, мм:; 100; Серия:; S7; Размер прямоугольного корпуса, мм:; 10x40x65; Артикул:; S7-7-E-N; Длина кабеля, м:; 2",https://sensoren.ru/product/usilitel_dlya_optovolokonnykh_datchikov_datalogic_s7_7_e_n/,под заказ
Оптоволоконный кабель DATASENSING OFA-4-FE-20,,"Исполнение:; Прямоугольный; Длина кабеля, мм:; 2000; Серия:; OFA; Артикул:; OFA-4-FE-20; Диапазон срабатывания, мм:; 3",https://sensoren.ru/product/optovolokonnyy_kabel_datalogic_ofa_4_fe_20/,под заказ
Световая завеса DATASENSING DS2-05-25-075-JV,331 201 руб.,"Серия:; DS2; Высота зоны контроля, мм:; 750; Ширина зоны контроля, мм:; 10000; Размер прямоугольного корпуса, мм:; 35x860x40; Аналоговый выход по напряжению, В:; 0-10",https://sensoren.ru/product/svetovaya_zavesa_datalogic_ds2_05_25_075_jv/,под заказ
Датчик контрастной метки DATASENSING TLu-365L,,"Серия:; TLu; Размер прямоугольного корпуса, мм:; 31x58x82; Артикул:; TLu-365L; Код товара:; 954151230; Корпус:; Прямоугольный",https://sensoren.ru/product/datchik_kontrastnoy_metki_datalogic_tlu_365l/,под заказ
Световая завеса LANBAO MH20-T4805LS1DA-F8,162 840 руб.,"Страна происхождения:; Китай; Серия:; MH20; Минимальный размер объекта, мм:; 30; Расстояние между лучами, мм:; 20; Высота зоны контроля, мм:; 940; Ширина зоны контроля, мм:; 5000; Время отклика, мс:; 15",https://sensoren.ru/product/svetovaya_zavesa_lanbao_mh20_t4805ls1da_f8/,под заказ
Усилитель для оптоволоконных датчиков DATASENSING S7-2-E-P,32 067 руб.,"Расстояние срабатывания для датчиков диффузного отражения Max, мм:; 50; Серия:; S7; Размер прямоугольного корпуса, мм:; 10x40x65; Артикул:; S7-2-E-P; Длина кабеля, м:; 2",https://sensoren.ru/product/usilitel_dlya_optovolokonnykh_datchikov_datalogic_s7_2_e_p/,под заказ
Датчики автоматических дверей Autonics ADS-SE2,8 720 руб.,"Серия:; ADS-SE; Источник света:; Инфракрасный LED; Количество подключаемых комплектов датчиков:; 2; Каналы обнаружения:; 2; Температура эксплуатации Max, °C:; 55; Температура эксплуатации Min, °C:; -20",https://sensoren.ru/product/datchiki_avtomaticheskikh_dverey_autonics_ads_se2/,под заказ
Датчик движения Pepperl Fuchs Radar sensor RaDec-D,36 800 руб.,"Серия:; RaDec; Высота установки Max, м:; 4; Зона обнаружения, мм:; 2000 x 4500; Температура эксплуатации Max, °C:; 60; Температура эксплуатации Min, °C:; -20; Размер прямоугольного корпуса, мм:; 101x60x59",https://sensoren.ru/product/datchik_dvizheniya_pepperl_fuchs_radar_sensor_radec_d/,под заказ
Оптоволоконный кабель LANBAO PFT-R02,17 050 руб.,"Исполнение:; Прямоугольный; Серия:; PFT; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -40; Сертификат соответствия:; EAC",https://sensoren.ru/product/optovolokonnyy_kabel_lanbao_pft_r02/,под заказ
Оптоволоконный кабель DATASENSING OF-42-HT-20,,"Исполнение:; Резьбовой; Длина кабеля, мм:; 2000; Серия:; OF; Диаметр чувствительной головки, мм:; 2,2; Артикул:; OF-42-HT-20",https://sensoren.ru/product/optovolokonnyy_kabel_datalogic_of_42_ht_20/,под заказ
Оптоволоконный кабель Autonics FD-320-05,3 520 руб.,"Исполнение:; Резьбовой; Длина кабеля, мм:; 2000; Минимальный радиус изгиба, мм:; 15; Серия:; FD; Возможность резки кабеля:; да; Встроенная линза:; нет (опция)",https://sensoren.ru/product/optovolokonnyy_kabel_autonics_fd_320_05/,под заказ
Оптоволоконный кабель IFM Electronic E20055,19 600 руб.,"Исполнение:; Резьбовой; Длина кабеля, мм:; 600; Минимальный радиус изгиба, мм:; 20; Длина чувствительной головки, мм:; 35; Температура эксплуатации Max, °C:; 290",https://sensoren.ru/product/optovolokonnyy_datchik_ifm_electronic_e20055/,под заказ
Оптоволоконный кабель LANBAO PFRC-410,2 930 руб.,"Исполнение:; Резьбовой; Длина кабеля, мм:; 1000; Минимальный радиус изгиба, мм:; 15; Серия:; PFR; Гибкое волокно:; Да; Сертификат соответствия:; EAC",https://sensoren.ru/product/optovolokonnyy_kabel_lanbao_pfrc_410/,в наличии
Датчик контрастной метки LANBAO SPM-TNR-RG,6 140 руб.,"Число контактов, pin:; 4; Страна происхождения:; Китай; Серия:; SPM; Время отклика, мс:; 1; Температура эксплуатации Max, °C:; 55; Температура эксплуатации Min, °C:; -25",https://sensoren.ru/product/datchik_kontrastnoy_metki_lanbao_spm_tnr_rg/,в наличии
Датчик контрастной метки DATASENSING TL46-WLF-815,72 015 руб.,"Серия:; TL46; Размер прямоугольного корпуса, мм:; 32x60x82; Артикул:; TL46-WLF-815; Код товара:; 954601040",https://sensoren.ru/product/datchik_kontrastnoy_metki_datalogic_tl46_wlf_815/,под заказ
Радарный датчик движения Banner Q120RA-EU-AF2Q,772 800 руб.,"Число контактов, pin:; 5; Серия:; Q120R; Время отклика, мс:; 15; Ширина луча, °:; 24 x 50; Дальность обнаружения Max, м:; 40; Дальность обнаружения Min, м:; 2",https://sensoren.ru/product/radarnyy_datchik_dvizheniya_banner_q120ra_eu_af2q/,под заказ
Световая завеса LANBAO LG20-T0805TNA-F2,24 680 руб.,"Страна происхождения:; Китай; Серия:; LG20; Минимальный размер объекта, мм:; 30; Расстояние между лучами, мм:; 20; Высота зоны контроля, мм:; 140; Ширина зоны контроля, мм:; 5000; Время отклика, мс:; 10",https://sensoren.ru/product/svetovaya_zavesa_lanbao_lg20_t0805tna_f2/,под заказ
Усилитель для оптоволоконных датчиков DATASENSING S70-5-E3-NI,41 517 руб.,"Расстояние срабатывания для световых барьеров Max, мм:; 2600; Серия:; S70; Размер прямоугольного корпуса, мм:; 10x32x80; Аналоговый выход по току, мА:; 4-20; Артикул:; S70-5-E3-NI",https://sensoren.ru/product/usilitel_dlya_optovolokonnykh_datchikov_datalogic_s70_5_e3_ni/,под заказ
Световая завеса LANBAO LG40-T2205TPA-F2,57 070 руб.,"Страна происхождения:; Китай; Серия:; LG40; Минимальный размер объекта, мм:; 60; Расстояние между лучами, мм:; 40; Высота зоны контроля, мм:; 840; Ширина зоны контроля, мм:; 5000; Время отклика, мс:; 50",https://sensoren.ru/product/svetovaya_zavesa_lanbao_lg40_t2205tpa_f2/,под заказ
Датчик контрастной метки DATASENSING TL46-A-425,47 027 руб.,"Серия:; TL46; Размер прямоугольного корпуса, мм:; 32x60x82; Артикул:; TL46-A-425; Код товара:; 954601080",https://sensoren.ru/product/datchik_kontrastnoy_metki_datalogic_tl46_a_425/,под заказ
Люминесцентный датчик DATASENSING LD46-UL-755,176 003 руб.,"Серия:; LD46; Размер прямоугольного корпуса, мм:; 32x60x82; Артикул:; LD46-UL-755",https://sensoren.ru/product/lyuminestsentnyy_datchik_datalogic_ld46_ul_755/,под заказ
Усилитель для оптоволоконных датчиков Autonics BFX-D1-N,5 360 руб.,"Регулировка чувствительности:; да; Серия:; BFX; Температура эксплуатации Max, °C:; 50; Температура эксплуатации Min, °C:; -10; Размер прямоугольного корпуса, мм:; 10x30,6x70,5",https://sensoren.ru/product/usilitel_dlya_optovolokonnykh_datchikov_autonics_bfx_d1_n/,под заказ
Люминесцентный датчик DATASENSING LD46-UL-715,172 772 руб.,"Серия:; LD46; Размер прямоугольного корпуса, мм:; 32x60x82; Артикул:; LD46-UL-715; Код товара:; 955201000",https://sensoren.ru/product/lyuminestsentnyy_datchik_datalogic_ld46_ul_715/,под заказ
