name,price,info,link,is_available
DATASENSING SR21-IR щелевой датчик для этикеток,22 100 руб.,"Глубина щели, мм:; 50; Соединение:; Разъем; Тип выходного сигнала:; PNP/NPN; Функция переключения:; NO/NC; Ширина щели, мм:; 2",https://sensoren.ru/product/opticheskie_schelevie_datchiki_datalogic-datasensor_sr21_dlya_etiketok/,в наличии
Ультразвуковой датчик этикеток LANBAO LAU-TR05DFB-E3,47 500 руб.,"Глубина щели, мм:; 68; Соединение:; Разъем; Тип выходного сигнала:; PNP/NPN; Ширина щели, мм:; 5",https://sensoren.ru/product/ultrazvukovoy_datchik_etiketok_lanbao_lau_tr05dfb_e3/,в наличии
Оптический вилочный датчик Autonics BS5-T2M-P,1 500 руб.,"Глубина щели, мм:; 9; Соединение:; Разъем; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_t2m_p/,под заказ
Щелевой датчик LANBAO PU30-TDPB,5 400 руб.,"Глубина щели, мм:; 45; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 30",https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu30_tdpb/,в наличии
"Оптический щелевой датчик этикеток Leuze Electronic GS 61/6.2,200-S12",37 260 руб.,"Глубина щели, мм:; 41; Соединение:; Кабель с разъемом; Тип выходного сигнала:; PUSH/PULL; Ширина щели, мм:; 3",https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_gs_61_6_2_200_s12/,под заказ
Щелевой датчик этикетки SICK UFN3-70B413,72 770 руб.,"Глубина щели, мм:; 69; Соединение:; Разъем; Тип выходного сигнала:; PNP/NPN; Функция переключения:; NO/NC; Ширина щели, мм:; 3",https://sensoren.ru/product/shchelevoy_datchik_etiketki_sick_ufn3_70b413/,в наличии
Щелевой датчик для этикеток DATASENSING SR23-2-IR-PH,21 739 руб.,"Глубина щели, мм:; 50; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; NC; Ширина щели, мм:; 5",https://sensoren.ru/product/shchelevoy_datchik_dlya_etiketok_datalogic_sr23_2_ir_ph/,под заказ
Щелевой датчик DATASENSING SRF-L-80-5-P,62 434 руб.,"Глубина щели, мм:; 54; Соединение:; Разъем M8; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 80",https://sensoren.ru/product/shchelevoy_datchik_datalogic_srf_l_80_5_p/,под заказ
Ультразвуковой щелевой датчик этикетки Leuze Electronic GSU 06/24-2,208 656 руб.,"Глубина щели, мм:; 48; Соединение:; Кабель; Тип выходного сигнала:; PNP/NPN; Ширина щели, мм:; 2,5",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_leuze_electronic_gsu_06_24_2/,под заказ
Щелевой датчик Banner SLM10B6,47 500 руб.,"Глубина щели, мм:; 60,8; Соединение:; Кабель; Тип выходного сигнала:; PNP/NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 10",https://sensoren.ru/product/shchelevoy_datchik_banner_slm10b6/,под заказ
Щелевой датчик SICK WF30-40B410,30 320 руб.,"Глубина щели, мм:; 42; Соединение:; Разъем M8; Тип выходного сигнала:; PNP/NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 30",https://sensoren.ru/product/shchelevoy_datchik_sick_wf30_40b410/,под заказ
Щелевой датчик LANBAO PU15-TDPO,3 920 руб.,"Глубина щели, мм:; 20; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; на затемнение; Ширина щели, мм:; 15",https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu15_tdpo/,в наличии
Ультразвуковой щелевой датчик этикетки DATASENSING SRX3-6-US-M8-PN,110 712 руб.,"Глубина щели, мм:; 68; Соединение:; Разъем; Тип выходного сигнала:; PNP/NPN; Ширина щели, мм:; 3",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_datalogic_srx3_6_us_m8_pn/,под заказ
Ультразвуковой щелевой датчик этикетки Leuze Electronic IGSU 14D/6D.3-S12,232 146 руб.,"Глубина щели, мм:; 70; Соединение:; Разъем; Тип выходного сигнала:; PUSH/PULL; Функция переключения:; NO/NC; Ширина щели, мм:; 4",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_leuze_electronic_igsu_14d_6d_3_s12/,под заказ
Щелевой датчик IFM Electronic OPU205,49 200 руб.,"Глубина щели, мм:; 60; Соединение:; Разъем M8; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 120",https://sensoren.ru/product/shchelevoy_datchik_ifm_electronic_opu205/,под заказ
Оптический вилочный датчик Autonics BUP-50-P,4 730 руб.,"Глубина щели, мм:; 36; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 50",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bup_50_p/,под заказ
Оптический вилочный датчик Autonics BS5-Y2M,1 500 руб.,"Глубина щели, мм:; 9; Соединение:; Разъем; Тип выходного сигнала:; NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_y2m/,под заказ
Щелевой датчик ТЕКО OU N31P5-31P-24-LZ,5 400 руб.,"Глубина щели, мм:; 31; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; на затемнение; Ширина щели, мм:; 24",https://sensoren.ru/product/shchelevoy_datchik_teko_ou_n31p5_31p_24_lz/,под заказ
Щелевой датчик ТЕКО OUR NC5P5-43P-R50-LZS4,11 730 руб.,"Глубина щели, мм:; 46; Соединение:; Разъем; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 50",https://sensoren.ru/product/shchelevoy_datchik_teko_our_nc5p5_43p_r50_lzs4/,под заказ
Ультразвуковой щелевой датчик этикетки Leuze Electronic IGSU 14D/6.3-S12,232 146 руб.,"Глубина щели, мм:; 70; Соединение:; Разъем; Тип выходного сигнала:; PUSH/PULL; Функция переключения:; NO/NC; Ширина щели, мм:; 4",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_leuze_electronic_igsu_14d_6_3_s12/,под заказ
Оптический щелевой датчик этикеток Leuze Electronic GS 63B/6D.3-S8,38 304 руб.,"Глубина щели, мм:; 61; Соединение:; Разъем; Тип выходного сигнала:; PUSH/PULL; Ширина щели, мм:; 3",https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_gs_63b_6d_3_s8/,под заказ
Ультразвуковой щелевой датчик этикетки DATASENSING SRX3-5-US-M12-PNH,110 712 руб.,"Глубина щели, мм:; 68; Соединение:; Разъем; Тип выходного сигнала:; PNP/NPN; Ширина щели, мм:; 3",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_datalogic_srx3_5_us_m12_pnh/,под заказ
Щелевой датчик для этикеток Banner SLC1BB6,231 000 руб.,"Глубина щели, мм:; 68,8; Соединение:; Кабель; Тип выходного сигнала:; PNP/NPN; Функция переключения:; NO/NC; Ширина щели, мм:; 1",https://sensoren.ru/product/shchelevoy_datchik_dlya_etiketok_banner_slc1bb6/,под заказ
